"student","problem","level","last.level","session"
"aakkian",4,3,2,4
"aatavenn",1,1,1,3
"abkarche",4,3,3,2
"adhayes2",3,1,1,3
"aeezhila",4,4,3,4
"aepeck",1,1,3,1
"aglong",1,1,1,3
"ajpappas",4,1,2,1
"ajsawyer",2,1,1,4
"aliman",1,1,3,1
"amombong",4,1,3,1
"ampoe3",1,1,3,1
"anmodali",4,3,3,2
"asatish",3,1,3,3
"asgargan",1,1,1,3
"bapowers",1,1,1,1
"bchawkin",4,4,3,3
"bhtang",2,1,1,3
"bjarring",3,1,3,3
"bjespela",1,1,3,1
"bjforema",1,1,3,2
"bjyounce",1,3,1,1
"blaffra",3,1,1,3
"bmmansou",2,1,3,3
"bpgoodso",3,1,1,1
"calumsd2",2,4,3,4
"cbritt",4,3,3,1
"cbwagner",1,3,3,2
"cchillen",1,1,2,1
"cclewis",2,1,3,3
"ccolgla",3,1,3,1
"ccyu",1,3,1,1
"cedavi11",3,1,3,3
"cgtacker",4,1,1,3
"cjenriqu",2,1,1,1
"cmblank2",1,3,3,2
"cnray2",4,1,3,4
"cntucke2",1,1,3,1
"ctmaynar",4,4,3,4
"cwong6",4,1,3,1
"cwscott3",1,3,3,1
"cznesbit",4,4,3,4
"dabarcen",1,1,1,3
"dalacey",1,1,3,3
"dauchman",1,3,3,2
"dbmclaur",2,1,1,3
"dfgebreh",2,2,2,2
"dfkromer",1,1,3,1
"dhendri",3,1,3,3
"dmpage",3,1,3,3
"drjohns7",3,1,3,3
"ealdama",1,3,3,1
"ekducket",2,4,3,4
"emalhajj",1,1,2,1
"ermurph6",4,1,3,3
"esworthy",2,1,3,3
"gitopali",2,1,3,3
"gsubram5",4,1,3,3
"gtstewar",1,1,3,1
"hmealey",2,3,3,1
"hmnguye3",1,1,1,3
"hmpierce",4,4,3,4
"hqbui",3,1,1,4
"hrpoe",3,1,3,3
"htyadon",4,4,3,4
"hzhang27",1,1,1,1
"iggatlan",3,1,3,3
"imfisher",4,3,3,1
"jahannaf",2,1,2,3
"jakauffm",1,1,3,3
"jareinha",2,1,3,3
"jbcolem2",4,3,1,1
"jchardi3",2,1,3,2
"jckindle",1,1,3,3
"jdhende5",1,1,3,1
"jdmalatr",1,4,3,4
"jdmccorm",2,1,3,4
"jeclark5",3,1,3,3
"jepatzer",3,1,3,3
"jgibbs2",2,1,3,3
"jhwooste",1,1,1,3
"jkayani",3,1,1,3
"jlcason",4,1,1,4
"jlsimps4",4,1,1,3
"jmcaskey",1,1,1,3
"jmjarrie",4,1,3,4
"jmtimper",1,3,1,1
"jrconrad",2,1,3,3
"jtaboad",1,3,2,2
"jtdreman",3,1,1,3
"jtwall3",2,1,3,3
"jwmcadam",3,1,1,3
"jwschaff",4,1,2,1
"kabartus",3,1,1,3
"kbmullea",4,1,4,1
"kckwazem",2,1,3,3
"kdabraha",1,1,1,1
"kepechac",2,1,3,4
"kgohel2",1,4,1,4
"kjeanne",2,1,2,3
"kjenkin3",2,1,3,3
"kjmcgowa",1,1,2,4
"klsebast",2,1,1,3
"ktvalaku",1,1,1,1
"lhmenden",4,1,1,3
"ljvandep",1,1,3,1
"lmmoland",3,1,1,3
"machaffe",4,4,3,4
"madair",2,1,2,1
"mamajett",3,1,1,3
"marora2",1,3,3,2
"maskelto",1,3,3,1
"mbbennis",4,1,2,1
"mbkilroy",2,1,4,1
"mcamar",2,1,3,3
"mcheiden",2,1,3,3
"mcheste3",2,1,1,3
"mdsabo",3,1,3,3
"mdsonnen",2,1,3,3
"mhester3",4,4,3,4
"miquaint",4,1,3,3
"mjgordo3",3,1,1,3
"mlbrow15",3,1,1,3
"mlmeeks",3,1,1,3
"msawada",2,4,3,4
"msmith7",1,1,3,3
"mtrichar",3,1,1,3
"mwprice",3,1,3,3
"nabruins",3,1,1,3
"nagallo",4,1,3,1
"nasnouwa",2,4,3,4
"neashley",2,1,3,3
"nlhartze",2,1,1,1
"nlrobson",3,1,1,3
"nrconlon",1,3,1,1
"nrsischo",2,1,3,3
"nwelch2",1,2,4,2
"otrinh",2,1,3,1
"pbwilli2",4,1,3,3
"pdtrinh",4,4,2,3
"pfleimer",1,1,1,1
"phgwynne",1,1,1,1
"pjayaku",4,4,3,3
"psbrown2",2,1,2,4
"psdhillo",1,1,3,3
"rbscott2",4,4,3,4
"rbwest",2,1,3,3
"rcquisto",1,1,3,3
"rfgoodni",1,1,1,3
"riestell",1,1,3,3
"rjwoods3",4,4,3,4
"rmdimart",4,3,3,2
"rmwalden",4,1,1,3
"rnsmith3",4,3,1,2
"rtmarsha",1,1,3,4
"rtquinn2",2,4,3,4
"rtvandyk",4,1,1,3
"rvisador",1,1,1,1
"rwu5",3,1,3,3
"sabeesle",4,1,2,3
"sastump",4,3,2,1
"scfausz",2,1,1,3
"scmcmurr",4,3,2,1
"sdllewel",1,3,3,3
"sfang3",1,1,1,3
"sjletica",3,1,1,3
"slmendez",2,3,3,1
"smadapu",4,1,3,3
"smdavis7",4,1,3,3
"smschnei",1,1,3,1
"spcamass",1,1,2,4
"srritter",3,1,3,4
"ssganni",3,1,1,3
"stking3",1,3,3,1
"swmeyer",4,1,1,1
"sxue2",2,1,3,3
"tadanie2",1,1,1,4
"tavanza2",4,1,3,4
"thle",2,4,3,4
"tjdeaton",1,1,2,1
"tjiang8",2,1,3,3
"tlcheek",3,1,1,3
"tmsmiley",4,1,3,3
"tvbarnet",4,4,3,4
"wbotuel",1,3,3,1
"wdhall3",2,1,2,3
"wgtolone",3,1,2,3
"wjbaker2",1,1,2,1
"wjglas",1,1,3,1
"wktaylo2",2,3,3,2
"wrcoakle",1,1,3,1
"wtshaw",3,1,3,3
"ywang103",4,1,3,4
"zcfearns",3,1,3,3
"zjgiorda",4,1,3,3
"znmarten",1,3,3,2
"ztbrownl",4,4,3,4
