"student","problem","level","last.level","session"
"aakkian",1,1,2,1
"aatavenn",4,1,1,1
"abkarche",1,1,3,3
"adhayes2",3,1,1,1
"aeezhila",4,4,3,4
"aepeck",1,1,3,1
"aglong",3,3,1,1
"ajpappas",4,4,2,1
"ajsawyer",3,3,1,2
"aliman",3,1,3,3
"amombong",1,3,3,2
"ampoe3",1,1,3,4
"anmodali",1,1,3,3
"asatish",3,1,3,1
"asgargan",3,3,3,1
"bapowers",1,1,1,1
"bchawkin",3,4,1,1
"bhtang",2,3,1,2
"bjarring",3,1,3,1
"bjespela",3,1,3,1
"bjforema",1,3,3,2
"bjyounce",3,1,1,1
"blaffra",3,1,1,1
"bmmansou",3,1,3,1
"bpgoodso",3,1,1,2
"calumsd2",3,4,3,4
"cbritt",4,3,3,2
"cbwagner",1,1,3,1
"cchillen",3,4,2,1
"cclewis",2,2,3,2
"ccolgla",3,1,3,1
"ccyu",1,1,1,1
"cedavi11",3,1,3,1
"cgtacker",4,1,1,1
"cjenriqu",4,3,1,2
"cmblank2",1,1,1,3
"cnray2",3,1,1,4
"cntucke2",3,1,3,2
"ctmaynar",4,4,3,4
"cwong6",1,1,3,1
"cwscott3",3,1,3,2
"cznesbit",4,4,3,1
"dabarcen",3,1,1,1
"dalacey",3,1,1,1
"dauchman",1,1,3,3
"dbmclaur",3,3,1,2
"dfgebreh",2,2,2,2
"dfkromer",1,1,3,2
"dhendri",3,3,1,1
"dmpage",3,1,3,1
"drjohns7",3,4,1,1
"ealdama",3,3,1,2
"ekducket",2,2,3,4
"emalhajj",1,1,2,2
"ermurph6",3,3,1,2
"esworthy",3,3,3,1
"gitopali",3,3,1,1
"gsubram5",4,1,1,1
"gtstewar",1,1,3,3
"hmealey",1,3,1,1
"hmnguye3",3,1,1,1
"hmpierce",4,4,3,4
"hqbui",3,1,1,1
"hrpoe",3,1,3,4
"htyadon",4,4,3,4
"hzhang27",3,1,1,1
"iggatlan",3,1,3,1
"imfisher",4,1,1,1
"jahannaf",3,1,1,1
"jakauffm",3,1,1,1
"jareinha",2,1,1,1
"jbcolem2",4,1,1,1
"jchardi3",1,3,1,2
"jckindle",3,1,3,1
"jdhende5",1,3,1,1
"jdmalatr",2,2,2,4
"jdmccorm",3,2,3,4
"jeclark5",3,1,3,1
"jepatzer",3,1,3,1
"jgibbs2",3,3,1,2
"jhwooste",3,3,1,2
"jkayani",3,3,1,1
"jlcason",1,1,1,4
"jlsimps4",4,1,1,1
"jmcaskey",4,4,1,1
"jmjarrie",3,2,3,4
"jmtimper",1,1,1,1
"jrconrad",3,2,2,2
"jtaboad",1,3,2,2
"jtdreman",3,1,1,1
"jtwall3",3,3,1,2
"jwmcadam",3,1,1,1
"jwschaff",1,1,2,1
"kabartus",3,1,1,1
"kbmullea",4,1,4,2
"kckwazem",2,3,1,2
"kdabraha",1,1,1,1
"kepechac",2,2,3,4
"kgohel2",2,2,1,3
"kjeanne",3,3,1,1
"kjenkin3",3,2,3,2
"kjmcgowa",1,4,2,4
"klsebast",3,3,1,1
"ktvalaku",3,1,1,1
"lhmenden",3,1,3,1
"ljvandep",3,1,3,1
"lmmoland",3,3,1,1
"machaffe",4,4,3,4
"madair",3,1,3,2
"mamajett",3,1,1,1
"marora2",1,1,3,3
"maskelto",3,3,3,2
"mbbennis",1,1,3,1
"mbkilroy",4,1,4,2
"mcamar",3,2,1,2
"mcheiden",3,3,1,2
"mcheste3",3,3,1,2
"mdsabo",3,1,2,1
"mdsonnen",3,3,1,2
"mhester3",4,4,3,4
"miquaint",4,1,1,1
"mjgordo3",3,1,1,1
"mlbrow15",3,1,1,1
"mlmeeks",3,1,1,1
"msawada",2,2,3,4
"msmith7",3,3,1,1
"mtrichar",3,4,1,1
"mwprice",3,1,3,1
"nabruins",3,1,1,1
"nagallo",4,1,3,1
"nasnouwa",2,2,3,4
"neashley",3,3,2,2
"nlhartze",3,3,1,2
"nlrobson",3,4,1,2
"nrconlon",3,1,1,1
"nrsischo",1,1,3,2
"nwelch2",1,1,4,2
"otrinh",3,4,3,1
"pbwilli2",3,1,2,1
"pdtrinh",4,4,2,1
"pfleimer",3,3,1,2
"phgwynne",3,1,3,1
"pjayaku",4,2,1,4
"psbrown2",2,2,2,4
"psdhillo",3,1,3,1
"rbscott2",1,4,3,4
"rbwest",3,3,3,1
"rcquisto",3,1,3,4
"rfgoodni",3,3,1,1
"riestell",3,1,3,1
"rjwoods3",4,4,3,1
"rmdimart",1,1,3,3
"rmwalden",3,2,1,1
"rnsmith3",4,1,1,1
"rtmarsha",3,4,3,4
"rtquinn2",2,2,1,4
"rtvandyk",4,1,1,1
"rvisador",1,1,1,1
"rwu5",3,1,3,1
"sabeesle",4,1,1,1
"sastump",4,1,2,1
"scfausz",3,3,3,1
"scmcmurr",4,3,2,2
"sdllewel",3,3,3,1
"sfang3",3,1,1,2
"sjletica",3,4,1,1
"slmendez",3,3,1,2
"smadapu",4,1,3,1
"smdavis7",4,4,3,4
"smschnei",1,1,1,1
"spcamass",1,1,3,1
"srritter",3,1,3,4
"ssganni",3,1,1,1
"stking3",1,1,3,3
"swmeyer",3,3,1,2
"sxue2",3,1,3,1
"tadanie2",3,4,1,1
"tavanza2",1,1,1,1
"thle",2,2,3,4
"tjdeaton",1,4,2,3
"tjiang8",3,1,3,1
"tlcheek",3,1,3,1
"tmsmiley",3,3,1,1
"tvbarnet",4,4,3,4
"wbotuel",1,1,3,1
"wdhall3",3,3,2,2
"wgtolone",3,1,2,1
"wjbaker2",1,1,2,1
"wjglas",3,1,3,1
