"student","problem.ward","problem.average","problem.median","problem.complete"
"aakkian",1,1,1,1
"aatavenn",1,1,1,2
"abkarche",1,1,1,1
"adhayes2",2,1,1,2
"aeezhila",1,1,1,2
"aepeck",1,1,1,1
"aglong",2,1,1,2
"ajpappas",1,1,1,1
"ajsawyer",2,1,1,2
"aliman",1,1,1,1
"amombong",2,1,1,2
"ampoe3",2,1,1,2
"anmodali",1,1,1,1
"asatish",1,1,1,1
"asgargan",2,1,1,2
"bapowers",1,1,1,1
"bchawkin",1,1,1,2
"bhtang",2,1,1,1
"bjarring",1,1,1,1
"bjespela",1,1,1,1
"bjforema",2,1,1,2
"bjyounce",1,1,1,1
"blaffra",2,1,1,1
"bmmansou",2,1,1,2
"bpgoodso",1,1,1,1
"calumsd2",2,1,1,1
"cbritt",1,1,1,1
"cbwagner",1,1,1,1
"cchillen",1,1,1,1
"cclewis",2,1,1,1
"ccolgla",1,1,1,1
"ccyu",1,1,1,1
"cedavi11",1,1,1,1
"cgtacker",1,1,1,2
"cjenriqu",2,1,1,1
"cmblank2",1,1,1,1
"cnray2",2,1,1,1
"cntucke2",2,1,1,2
"ctmaynar",1,1,1,2
"cwong6",1,1,1,1
"cwscott3",1,1,1,1
"cznesbit",1,1,1,1
"dabarcen",2,1,1,2
"dalacey",2,1,1,1
"dauchman",1,1,1,1
"dbmclaur",2,1,1,2
"dfgebreh",2,2,2,1
"dfkromer",1,1,1,2
"dhendri",2,1,1,1
"dmpage",2,1,1,2
"drjohns7",2,1,1,1
"ealdama",2,1,1,2
"ekducket",2,1,1,1
"emalhajj",2,1,1,2
"ermurph6",1,1,1,2
"esworthy",2,1,1,2
"gitopali",2,1,1,2
"gsubram5",1,1,1,2
"gtstewar",2,1,1,2
"hmealey",2,1,1,1
"hmnguye3",1,1,1,1
"hmpierce",1,1,1,2
"hqbui",1,1,1,1
"hrpoe",1,1,1,2
"htyadon",1,1,1,2
"hzhang27",1,1,1,1
"iggatlan",1,1,1,1
"imfisher",1,1,1,1
"jahannaf",2,1,1,1
"jakauffm",2,1,1,1
"jareinha",2,1,1,1
"jbcolem2",2,1,1,1
"jchardi3",2,1,1,1
"jckindle",2,1,1,1
"jdhende5",2,1,1,1
"jdmalatr",3,4,4,4
"jdmccorm",2,1,1,2
"jeclark5",2,1,1,2
"jepatzer",2,1,1,1
"jgibbs2",2,1,1,2
"jhwooste",2,1,1,2
"jkayani",2,1,1,1
"jlcason",1,1,1,1
"jlsimps4",1,1,1,1
"jmcaskey",1,1,1,1
"jmjarrie",2,1,1,2
"jmtimper",1,1,1,1
"jrconrad",2,1,1,1
"jtaboad",2,1,1,1
"jtdreman",2,1,1,2
"jtwall3",2,1,1,2
"jwmcadam",2,1,1,1
"jwschaff",1,1,1,1
"kabartus",1,1,1,1
"kbmullea",1,1,1,1
"kckwazem",2,1,1,1
"kdabraha",1,1,1,1
"kepechac",2,1,1,1
"kgohel2",3,1,1,4
"kjeanne",2,1,1,2
"kjenkin3",2,1,1,2
"kjmcgowa",3,1,1,2
"klsebast",2,1,1,2
"ktvalaku",2,1,1,2
"lhmenden",2,1,1,2
"ljvandep",2,1,1,2
"lmmoland",2,1,1,1
"machaffe",1,1,1,1
"madair",2,1,1,2
"mamajett",2,1,1,1
"marora2",2,1,1,2
"maskelto",2,1,1,2
"mbbennis",1,1,1,1
"mbkilroy",2,1,1,2
"mcamar",2,1,1,2
"mcheiden",2,1,1,2
"mcheste3",2,1,1,2
"mdsabo",2,1,1,2
"mdsonnen",2,1,1,2
"mhester3",1,1,1,2
"miquaint",2,1,1,2
"mjgordo3",1,1,1,1
"mlbrow15",2,1,1,1
"mlmeeks",2,1,1,2
"msawada",2,1,1,1
"msmith7",2,1,1,1
"mtrichar",1,1,1,1
"mwprice",1,1,1,1
"nabruins",1,1,1,1
"nagallo",1,1,1,1
"nasnouwa",2,1,1,1
"neashley",2,1,1,2
"nlhartze",2,1,1,2
"nlrobson",1,1,1,2
"nrconlon",1,1,1,1
"nrsischo",1,1,1,2
"nwelch2",4,3,3,3
"otrinh",2,1,1,2
"pbwilli2",2,1,1,1
"pdtrinh",1,1,1,2
"pfleimer",2,1,1,1
"phgwynne",1,1,1,1
"pjayaku",1,1,1,2
"psbrown2",2,1,1,1
"psdhillo",2,1,1,1
"rbscott2",2,1,1,2
"rbwest",2,1,1,2
"rcquisto",2,1,1,2
"rfgoodni",2,1,1,2
"riestell",2,1,1,1
"rjwoods3",1,1,1,1
"rmdimart",1,1,1,1
"rmwalden",2,1,1,1
"rnsmith3",1,1,1,1
"rtmarsha",1,1,1,1
"rtquinn2",2,1,1,1
"rtvandyk",1,1,1,1
"rvisador",1,1,1,1
"rwu5",1,1,1,1
"sabeesle",1,1,1,1
"sastump",1,1,1,1
"scfausz",2,1,1,2
"scmcmurr",2,1,1,1
"sdllewel",2,1,1,1
"sfang3",2,1,1,2
"sjletica",2,1,1,2
"slmendez",2,1,1,1
"smadapu",1,1,1,1
"smdavis7",1,1,1,2
"smschnei",1,1,1,1
"spcamass",2,1,1,2
"srritter",2,1,1,2
"ssganni",1,1,1,1
"stking3",1,1,1,1
"swmeyer",2,1,1,1
"sxue2",2,1,1,1
"tadanie2",1,1,1,1
"tavanza2",1,1,1,1
"thle",2,1,1,1
"tjdeaton",1,1,1,2
"tjiang8",2,1,1,2
"tlcheek",2,1,1,2
"tmsmiley",2,1,1,2
"tvbarnet",1,1,1,2
"wbotuel",1,1,1,1
"wdhall3",2,1,1,2
"wgtolone",1,1,1,1
"wjbaker2",1,1,1,1
"wjglas",2,1,1,2
"wktaylo2",2,1,1,1
"wrcoakle",2,1,1,1
"wtshaw",2,1,1,1
"ywang103",1,1,1,2
"zcfearns",1,1,1,1
"zjgiorda",2,1,1,1
"znmarten",1,1,1,1
"ztbrownl",1,1,1,2
