"student","course","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"kdabraha","CSC226-001-STADDON-S16",-2.22785603845419,3.75304507024548,-1.18830154517921,0.463289783179559,-0.261715576952323,-0.19124941052437,-0.117786886468119,1.32655801272741
"dfgebreh","CSC226-001-STADDON-S16",-8.95141317723528,-6.63893032943901,5.12018427903093,2.29126823679482,0.0862002810048844,3.04143626572973,2.77500738069421,-0.873790502475184
"mcamar","CSC226-001-STADDON-S16",1.2546098438942,-2.43648071195777,4.50037083920427,-1.88030509657322,1.27178466652685,-0.138895715260527,1.02427575672995,1.22435591056951
"bpgoodso","CSC226-001-STADDON-S16",-3.35595097470793,2.41431252836684,4.91438532314971,-1.32180919381993,-1.84350965012909,1.01072960223406,-0.213579808921383,1.84796324173028
"mwprice","CSC226-001-STADDON-S16",4.21245121439365,1.48427861498833,-1.74480138484699,0.649169012368704,-0.553467304482953,0.596027446790897,0.894479407975834,0.0355814794411697
"ermurph6","CSC226-001-STADDON-S16",2.21107900577874,-0.44902084849816,0.749327552531369,-2.04117343926274,-0.423641449014247,0.443717794098966,-0.41426867513842,-0.153732764339457
"rmdimart","CSC226-001-STADDON-S16",-5.98167085950913,-0.529812043198503,-3.59703905459017,-0.508169657530411,-1.72196612592132,-0.33716535269272,1.36298022702275,-0.591801146350683
"tadanie2","CSC226-001-STADDON-S16",1.8648784345296,1.76376750116094,-0.801840982245242,2.04242129312326,0.508610863537801,0.896570155206304,0.306691242270212,-0.596350290164713
"rvisador","CSC226-001-STADDON-S16",-1.87845600622919,1.12378694050386,-1.56488073934875,-0.69130110364153,0.0493097806451498,0.362619392564818,0.126790218821356,-0.332055649158807
"riestell","CSC226-001-STADDON-S16",2.54252769633701,0.820342440356553,-0.517049874561095,-1.07898737597143,-0.945245896713069,-0.404858387044315,0.206953405391495,0.0609121987043106
"calumsd2","CSC226-001-STADDON-S16",-2.43751186878748,-3.20394741822338,-0.21746029734044,4.23837273520716,-1.64612784790483,3.47112426687824,2.55558558143585,-2.42539936083796
"rtmarsha","CSC226-001-STADDON-S16",3.06230824848547,-0.872408290839764,-1.97508403913849,0.820732453660101,0.18559976240492,1.26740005714493,0.337291044692461,-0.772965943926977
"jmcaskey","CSC226-001-STADDON-S16",1.48124322910342,1.29001681276389,-0.509830006271527,0.121298714608765,1.02993281656118,0.875468737630798,0.0687126955595558,-0.341115018327313
"kepechac","CSC226-001-STADDON-S16",3.77483293518892,-3.26532138821453,0.300204772114757,0.172487191490916,-0.497523676320748,0.51025317664038,0.431196663508146,-0.83526013633022
"mjgordo3","CSC226-001-STADDON-S16",2.2891021399134,2.37365216233122,-0.139005093092325,-0.274015397622312,-1.61542282495645,0.688974110131184,0.174582009724757,-0.636484757574094
"swmeyer","CSC226-001-STADDON-S16",-3.04405827075697,2.18762150760542,2.58828910238171,0.940393168471141,-2.30902728905419,-0.723281184340483,-1.45146916241304,-2.40084699960656
"imfisher","CSC226-001-STADDON-S16",-3.17803444731608,0.743197392625473,0.0197016252290113,-0.0686429106619822,0.652858203660821,0.28272490945614,2.09096369696029,1.3764499993848
"jbcolem2","CSC226-001-STADDON-S16",-0.919790906461685,1.14340844076041,1.0328240188046,1.59659088127419,-0.119697418295538,0.236670356905291,-0.938249514452982,0.00572911831927181
"kjmcgowa","CSC226-001-STADDON-S16",-1.35291361055714,-3.13127744301862,-1.5860116646438,-1.78225847641065,1.08613045798511,2.59291588725216,-1.71870638926895,-0.790113782411148
"dhendri","CSC226-001-STADDON-S16",3.85431127006337,0.356305701588441,1.01533735579974,-0.655220785290486,1.98589701251846,-0.585938961622599,1.14294688677513,0.0803260941704222
"jckindle","CSC226-001-STADDON-S16",1.70092098872373,0.946528153626732,-0.553938676303655,-0.875120797110792,0.978630507895192,0.833392020252814,0.586230106953597,0.255212363148454
"blaffra","CSC226-001-STADDON-S16",4.40783640168511,1.19318267306138,-0.264763234643758,-1.25313813317074,0.035144787792966,-0.125409743959161,-0.600182826667763,-0.263909301106565
"wjbaker2","CSC226-001-STADDON-S16",-4.99694747146219,1.6561527875025,-1.87904835464033,-0.0101118380682826,1.51582722914268,-0.652878744541463,-0.44451736598317,0.131540183461397
"mlbrow15","CSC226-001-STADDON-S16",3.53098005821681,0.829006586224701,-1.02910864562159,-2.17915062344334,0.188328695187824,0.333132151451464,-1.24658234311435,-0.847530240075439
"drjohns7","CSC226-001-STADDON-S16",5.32753205984026,0.0710663714524714,0.0986514634376774,-0.166713715448191,0.793893215112363,-0.18359833778217,0.625646329719954,0.0313587715536292
"jchardi3","CSC226-001-STADDON-S16",-8.92919166502046,-0.248799385902513,1.46708540603469,-1.20281844785954,1.90025485300529,2.14435416197002,-2.49627398068959,0.867952759558674
"amombong","CSC226-001-STADDON-S16",-2.43955421611535,-1.60508210135417,0.671985042718499,-1.07949273038658,-0.899286213393512,2.19704039381731,-0.239836515349167,0.268278329964621
"madair","CSC226-001-STADDON-S16",-1.94866257453815,-0.533830764344171,0.400515198234291,-0.406367045674354,-1.10855576642018,-0.405947612228335,-0.0663355885711878,-0.665902127926575
"cwong6","CSC226-001-STADDON-S16",0.147640261366822,1.18272676277579,-3.00125757080075,2.20925103296873,0.629451160387773,0.791930939161131,1.05357255734983,0.201944962688973
"stking3","CSC226-001-STADDON-S16",-3.75745502881835,0.149911045493075,-2.75944835461906,-2.46690017883998,-0.565781047841788,1.85204864670576,-1.15022885873642,0.919885936795801
"otrinh","CSC226-001-STADDON-S16",-1.83674125677465,0.948056230924361,1.13561320937333,-0.8990157095729,-1.7982621165742,-0.0763880295039239,-0.374921005540957,0.767665571802485
"mcheste3","CSC226-001-STADDON-S16",0.939025383194887,0.38653759367463,2.84140490053778,-1.92307571999772,0.648406388521816,0.497508379203186,0.586096956854464,0.785194240636926
"jtwall3","CSC226-001-STADDON-S16",1.99291869870671,-0.606557040285536,2.94784213921272,-1.11105024082693,1.20200289227419,-0.466879745827543,-0.0862762347267497,0.145983533769095
"rnsmith3","CSC226-001-STADDON-S16",-5.66628116402648,1.86704366390639,-2.33082178974226,3.5828675385339,-0.301768611892852,0.256253022826851,-2.36830902602375,2.576600522269
