"student","problem","level"
"aakkian",1,4
"aatavenn",1,1
"abkarche",1,1
"adhayes2",3,3
"aeezhila",1,4
"aepeck",1,3
"aglong",2,2
"ajpappas",1,1
"ajsawyer",2,2
"aliman",2,2
"amombong",1,1
"ampoe3",2,1
"anmodali",1,1
"asatish",1,3
"asgargan",2,3
"bapowers",1,1
"bchawkin",1,4
"bhtang",2,2
"bjarring",2,3
"bjespela",3,3
"bjforema",3,3
"bjyounce",3,1
"blaffra",2,3
"bmmansou",2,2
"bpgoodso",2,3
"calumsd2",3,1
"cbritt",1,1
"cbwagner",1,1
"cchillen",2,3
"cclewis",2,3
"ccolgla",3,1
"ccyu",1,1
"cedavi11",1,3
"cgtacker",1,1
"cjenriqu",2,2
"cmblank2",1,1
"cnray2",3,4
"cntucke2",2,1
"ctmaynar",1,4
"cwong6",1,1
"cwscott3",2,3
"cznesbit",1,4
"dabarcen",3,2
"dalacey",2,1
"dauchman",1,2
"dbmclaur",1,2
"dfgebreh",2,2
"dfkromer",3,1
"dhendri",2,2
"dmpage",2,3
"drjohns7",2,2
"ealdama",3,2
"ekducket",2,4
"emalhajj",2,1
"ermurph6",2,2
"esworthy",1,2
"gitopali",2,2
"gsubram5",1,3
"gtstewar",2,1
"hmealey",3,2
"hmnguye3",3,2
"hmpierce",1,4
"hqbui",3,1
"hrpoe",1,3
"htyadon",1,4
"hzhang27",3,1
"iggatlan",1,3
"imfisher",1,3
"jahannaf",1,3
"jakauffm",2,1
"jareinha",3,1
"jbcolem2",3,3
"jchardi3",1,2
"jckindle",1,1
"jdhende5",3,2
"jdmalatr",2,2
"jdmccorm",2,4
"jeclark5",2,1
"jepatzer",2,3
"jgibbs2",2,2
"jhwooste",2,2
"jkayani",2,2
"jlcason",3,1
"jlsimps4",1,3
"jmcaskey",3,1
"jmjarrie",2,3
"jmtimper",1,1
"jrconrad",2,2
"jtaboad",1,1
"jtdreman",2,3
"jtwall3",2,2
"jwmcadam",2,2
"jwschaff",1,1
"kabartus",3,1
"kbmullea",1,1
"kckwazem",3,2
"kdabraha",1,1
"kepechac",2,2
"kgohel2",1,1
"kjeanne",2,2
"kjenkin3",1,3
"kjmcgowa",1,4
"klsebast",2,2
"ktvalaku",2,2
"lhmenden",3,3
"ljvandep",3,1
"lmmoland",2,2
"machaffe",1,4
"madair",1,1
"mamajett",2,2
"marora2",1,2
"maskelto",2,1
"mbbennis",1,1
"mbkilroy",2,1
"mcamar",2,2
"mcheiden",2,3
"mcheste3",2,2
"mdsabo",2,2
"mdsonnen",2,2
"mhester3",2,4
"miquaint",3,3
"mjgordo3",2,3
"mlbrow15",3,1
"mlmeeks",3,1
"msawada",2,4
"msmith7",3,2
"mtrichar",1,3
"mwprice",1,3
"nabruins",2,3
"nagallo",1,1
"nasnouwa",2,4
"neashley",2,2
"nlhartze",2,3
"nlrobson",2,3
"nrconlon",3,1
"nrsischo",1,1
"nwelch2",4,1
"otrinh",2,3
"pbwilli2",1,3
"pdtrinh",1,3
"pfleimer",3,2
"phgwynne",2,3
"pjayaku",1,4
"psbrown2",2,2
"psdhillo",1,2
"rbscott2",2,4
"rbwest",2,3
"rcquisto",2,1
"rfgoodni",2,2
"riestell",1,1
"rjwoods3",1,3
"rmdimart",1,1
"rmwalden",1,3
"rnsmith3",1,1
"rtmarsha",1,1
"rtquinn2",2,4
"rtvandyk",1,3
"rvisador",3,3
"rwu5",1,3
"sabeesle",1,3
"sastump",1,3
"scfausz",2,2
"scmcmurr",1,2
"sdllewel",3,2
"sfang3",2,2
"sjletica",2,3
"slmendez",2,1
"smadapu",1,1
"smdavis7",1,4
"smschnei",3,1
"spcamass",1,1
"srritter",2,3
"ssganni",1,3
"stking3",1,1
"swmeyer",1,2
"sxue2",2,1
"tadanie2",3,4
"tavanza2",1,1
"thle",2,4
"tjdeaton",3,1
"tjiang8",1,1
"tlcheek",3,3
"tmsmiley",2,2
"tvbarnet",1,4
"wbotuel",1,1
"wdhall3",1,2
"wgtolone",2,3
"wjbaker2",3,1
"wjglas",3,3
"wktaylo2",1,1
"wrcoakle",1,1
"wtshaw",1,3
"ywang103",1,4
"zcfearns",2,3
"zjgiorda",3,4
"znmarten",1,1
"ztbrownl",1,4
