"student","course","condition","level","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"kdabraha","CSC226-001-STADDON-S16","Random",1,-4.54152035763616,-1.81847771665014,-0.588722561202065,0.472272262489451,-0.203316615029519,0.378632602393739,-0.017965445632666,0.226333436733181
"kdabraha","CSC226-001-STADDON-S16","Random",2,1.29135176961494,-3.65074754560947,0.590297305572147,0.966866494586505,-0.0376819190213229,0.139377670092712,0.2190697692533,0.435169401351548
"kdabraha","CSC226-001-STADDON-S16","Random",3,3.91368363616357,-3.31975743713107,0.7454271380847,0.298163723459952,0.272107903884408,0.263672737388327,0.321841287156287,0.422352981328047
"kdabraha","CSC226-001-STADDON-S16","Random",4,4.83084108183761,-3.22099567828965,0.780125161428806,-0.249970889569659,0.185391271841442,0.45763731679918,0.384845068759325,0.322873463458223
"kdabraha","CSC226-001-STADDON-S16","Random",5,5.22665263511911,-3.1269186648544,0.618396276140532,-0.749699020309987,0.218928472925071,0.684571707601051,0.418837698837447,0.147243926966183
"kdabraha","CSC226-001-STADDON-S16","Random",6,5.85740976147799,-3.13321751645977,0.658304359738706,-1.04312239129748,0.169988710990539,0.767485297914575,0.475948552302968,0.102189668617956
"dfgebreh","CSC226-001-STADDON-S16","Random",1,-4.90633436101695,4.53344417847518,-5.6259157250341,-1.03311453193611,1.87292966200706,-1.99040919223342,1.44185038731421,5.24183442126516
"dfgebreh","CSC226-001-STADDON-S16","Random",2,-4.34599966934859,5.86265468171326,-3.99118266959226,-1.06204338842582,2.02757886945774,-1.64112058721942,1.19524410243766,4.72985739212576
"dfgebreh","CSC226-001-STADDON-S16","Random",3,2.83280932383431,4.96303721357939,-2.8491658997373,1.1017266842024,3.27073672128372,-0.601670445381803,1.71886479114649,4.24080245526535
"dfgebreh","CSC226-001-STADDON-S16","Random",4,8.5596269163987,7.59795941690023,-0.481886445954698,1.09624121973503,1.771624343917,0.0343705112237381,2.93765261360291,4.40228589878988
"dfgebreh","CSC226-001-STADDON-S16","Random",5,9.87014980117098,7.80280927977766,-0.469740433738327,0.696752883873576,1.91128870898986,0.322082846984327,3.32299801209478,3.99778285837941
"dfgebreh","CSC226-001-STADDON-S16","Random",6,12.8554648486314,8.10265079230103,-0.0213885927677535,0.296555872587141,1.96159785500719,0.38483735172424,3.56086923015622,3.90638930446218
"mcamar","CSC226-001-STADDON-S16","Random",1,-4.12325716141147,0.386722284184744,0.715795791237868,2.03180421180451,-0.756901792815154,0.74053740457426,0.201060063738981,-0.0499858020728446
"mcamar","CSC226-001-STADDON-S16","Random",2,-4.15535075090325,1.15694470004599,0.334214057374145,0.959997043799427,-0.72317950841965,0.818962763329015,-0.0566661365274453,-0.0273042052695801
"mcamar","CSC226-001-STADDON-S16","Random",3,-1.53908065407068,3.64793113632512,2.31320032909121,1.53921764278754,-1.29500176999707,2.02594518037112,0.232129243591706,0.13694509769836
"mcamar","CSC226-001-STADDON-S16","Random",4,-0.884243875059084,3.99067236502961,2.07817012163278,0.621974621474375,-1.1720803541319,1.67172982174889,0.0339036396806978,-0.133109464807186
"mcamar","CSC226-001-STADDON-S16","Random",5,1.46840806054362,4.68129145378332,3.43684766954937,-0.64902503746798,-1.83509170555148,1.65633898016023,0.376453656204312,0.0109664711479455
"mcamar","CSC226-001-STADDON-S16","Random",6,2.312022104868,4.360188520155,3.05985171522062,-1.17752219922526,-1.75655790704863,1.65488606278633,0.381235989135252,-0.0377737417953446
"bpgoodso","CSC226-001-STADDON-S16","Random",1,0.0169817628261114,-0.362158848297724,4.61151774139553,1.77296852012362,-1.38591647692471,-1.89474263547214,0.690401158749527,1.44547584160389
"bpgoodso","CSC226-001-STADDON-S16","Random",2,-0.322070121279536,-0.313966605533126,3.18740290866907,0.784507599229311,-0.93725071749225,-0.511897620567423,0.633223388714182,0.615737894780589
"bpgoodso","CSC226-001-STADDON-S16","Random",3,4.48877205138073,0.948471399491951,4.79301880313414,-0.153105529305316,-1.90990876077936,-1.02029199723497,1.29978113686175,0.939756335716149
