"student","problem","level","last.level","session"
"aaltaf",1,1,1,1
"aawatson",4,1,3,1
"acantre",1,1,1,4
"acflint",2,2,2,3
"acluck",1,1,2,1
"adevula",4,1,1,1
"admaycoc",3,4,2,1
"adwall4",4,4,2,1
"aeezhila",2,2,2,2
"afranci",3,4,2,3
"agadler",3,4,3,1
"agdavis5",3,1,3,1
"ahchowdh",4,4,3,1
"ajfelion",3,4,2,4
"ajgoins",2,2,2,2
"ajstrapp",2,2,3,1
"akgarcia",4,4,1,1
"akiyeng2",3,4,3,1
"akothar3",4,3,2,1
"amosolf",2,4,2,2
"amshafe2",1,1,2,1
"amshaikh",1,3,3,1
"anfisher",1,3,3,4
"anpeeple",2,2,3,2
"anshafer",1,1,1,1
"apgering",2,3,2,1
"aphuggin",1,1,2,1
"arrohlof",3,3,3,4
"asuh",1,1,1,1
"athapa",2,3,4,3
"azrowe",2,4,2,4
"bcboyle",3,3,3,1
"bknagy",2,1,3,4
"cbbhesan",1,1,1,1
"ccrainea",3,4,3,3
"cjhall3",2,2,2,2
"cjhetzle",4,4,3,1
"cjparke",2,4,2,2
"cmfitzg2",2,2,3,2
"cmharri5",3,3,3,1
"cmwill28",2,2,2,2
"cndrotor",1,1,1,4
"cnkeesee",2,3,1,2
"crdurand",3,4,3,1
"ctripoll",4,4,3,1
"cwcarrol",3,3,3,4
"dagarwa3",2,4,4,3
"dbadvel",1,1,3,4
"dhochst",4,1,3,3
"djbaucom",1,1,1,4
"djmock",1,3,3,1
"dkarami",3,4,3,4
"dpelliot",2,4,2,2
"dphall3",1,1,2,1
"dpmoody",2,3,2,3
"dskenlin",4,4,3,1
"dsmonaza",3,4,2,1
"eadunlop",4,1,2,1
"ebbode",4,1,3,3
"ejfinle2",2,2,2,2
"gaspillm",2,2,2,2
"gcwatts",1,1,3,4
"gghugh",1,1,1,4
"gjabell",4,1,3,1
"gkprufer",1,3,3,2
"gnswain",4,4,3,1
"grbalsha",1,1,1,1
"hehendr2",3,3,2,2
"hfernan",2,2,2,2
"hhpatel",2,1,3,1
"hmorris3",4,1,3,1
"hrgoldin",4,4,3,1
"hsnelakk",2,3,1,1
"htcollin",1,1,3,1
"jaballan",1,1,1,3
"jamacle2",4,4,2,1
"jbcarpe4",3,4,1,2
"jchackim",4,2,2,1
"jcwall",2,2,2,2
"jethoma8",2,4,3,1
"jfwang2",3,3,2,4
"jgschwab",4,4,2,1
"jhoh",1,1,1,4
"jhpatel4",4,4,2,1
"jipark",4,4,4,1
"jjndon",1,1,2,1
"jjravi",3,4,2,3
"jli29",2,3,3,2
"jmrodri2",1,1,3,1
"jmwhitta",3,3,3,2
"jnparmar",1,1,1,4
"jpferrer",2,4,2,3
"jrbell2",2,3,3,2
"jrodrig6",1,1,3,3
"jrticati",3,1,2,1
"jrtuttl2",4,4,3,1
"jtirene",3,2,2,4
"jtnelso3",1,1,1,1
"jtoverto",4,4,3,1
"jwbober",2,4,2,2
"jwjenni2",1,3,3,2
"kdmidge2",2,3,3,3
"kenewell",1,1,3,1
"kgwrigh2",3,4,3,1
"kli11",2,2,2,2
"kmpatel7",1,1,1,4
"kpowczar",3,4,2,1
"lbgesner",2,3,3,2
"ldremigi",1,1,3,4
"lmphears",2,3,2,1
"lmtavare",2,3,2,3
"ltmcmill",4,4,2,1
"ltran3",2,3,2,3
"ltschroc",2,2,2,2
"lvboyd",2,3,3,3
"masultan",2,3,3,3
"mcphill3",3,4,2,1
"mcwalte2",2,4,2,1
"mdsirio",3,3,1,4
"mhalawa",1,1,1,1
"mjcanzia",2,3,2,3
"mjdivinc",3,3,3,1
"mklemons",3,4,2,3
"mlcarswe",3,3,2,3
"mrdowns",1,1,3,1
"mschlei",1,1,3,4
"msubram3",2,1,4,3
"mtsmith8",3,4,2,1
"ncluther",3,4,2,3
"ncstone3",2,4,3,4
"ndboard",3,3,2,1
"nkhulla",2,3,3,3
"nlwrenn",1,1,1,4
"nnshirse",1,1,1,1
"nrducret",2,4,3,2
"nrsherr2",4,4,2,3
"oaallan",2,3,2,1
"pasoloni",1,4,3,1
"pjlee2",1,1,3,4
"pkamala",2,4,2,3
"pkamin",3,3,3,4
"pmocher",1,1,3,4
"pnholton",3,1,3,4
"psingh8",3,3,3,2
"qliao",2,3,2,3
"qyjones",2,4,2,1
"rabaraho",4,1,1,1
"racavan2",3,4,2,3
"razeitle",1,1,2,3
"rdmarshb",4,2,2,2
"rfseligs",2,2,2,2
"rhowlan",4,1,3,4
"rjalexan",4,1,2,1
"rjwoods4",1,1,1,1
"rkjaouha",3,3,3,2
"rkkrache",2,2,2,2
"rneby",4,4,2,3
"sacynamo",1,1,4,1
"salille2",4,4,2,3
"skcoleba",1,1,3,1
"skuloor",1,1,3,4
"slgerald",1,3,1,3
"smtate2",3,3,2,4
"snhender",3,4,3,1
"sranga",4,4,3,1
"ssbagade",2,2,2,2
"stparham",1,1,3,4
"swang41",2,3,1,4
"tadicke3",2,2,2,2
"tareddin",2,3,3,3
"tjfallon",1,3,1,1
"tjschomb",4,4,1,1
"tliu18",1,1,1,1
"tmarche",3,1,3,4
"tmoore2",2,3,1,3
"tskropie",2,4,2,3
"tsstuelk",2,2,2,2
"vmaktha",4,4,2,2
"wdcosta",3,4,2,1
"wdhaskin",2,4,3,3
"wjbaker2",2,4,2,2
"wjiang7",3,3,1,2
"wjmeyers",1,1,3,1
"wma8",4,1,3,1
"xrao",4,4,2,1
"yzhan101",3,3,1,4
"yzhu24",2,3,1,4
"zyuan3",4,4,2,1
