"student","course","PC1","PC2","PC3","PC4"
"tliu18","CSC226-001-BARNES-F16",-5.60118919989697,0.493872517509786,5.8657764755146,1.00339259484603
"cmwill28","CSC226-001-BARNES-F16",4.12569746829567,-3.25279256694647,-1.57254909185514,0.352010663820463
"jaballan","CSC226-001-BARNES-F16",-5.14771090839281,3.6181151142562,-1.11254650973488,-2.15224384051107
"apgering","CSC226-001-BARNES-F16",0.208173603899059,-0.360380781080208,-0.0947679838138604,0.457143219758551
"afranci","CSC226-001-BARNES-F16",0.183113286529173,2.08983708578287,-1.64049917875297,1.69105137472293
"cmharri5","CSC226-002-BARNES-F16",0.135307034037192,0.894221551770099,-0.120052838495683,-0.905549957199358
"rjalexan","CSC226-002-BARNES-F16",4.04848177946982,-1.09790705451312,0.608466171847538,0.073761618702545
"ajfelion","CSC226-002-BARNES-F16",-1.72200589205648,-0.660832845712092,0.946939863765794,-0.227229596415025
"rabaraho","CSC226-002-BARNES-F16",1.78599965962055,-0.403972664617309,2.50928904482018,-0.758613264801937
"jwbober","CSC226-001-BARNES-F16",0.0387115142210893,-1.99081764514966,0.153631975943124,1.07668312526386
"xrao","CSC226-001-BARNES-F16",4.28187030293339,-1.13906297134184,-0.341412337117886,-0.0546519671846204
"skcoleba","CSC226-002-BARNES-F16",4.04203140237676,1.80269504291743,3.69181511165057,1.53100061142417
"jhpatel4","CSC226-001-BARNES-F16",1.31416541928989,-1.62362085474057,2.46783630133592,-1.09628577432213
"ncstone3","CSC226-002-BARNES-F16",2.0026080293529,-1.43358877197983,-1.30471703010606,0.455078029608808
"masultan","CSC226-001-BARNES-F16",-6.72968682217215,1.27191612612302,-0.930030862165506,-1.7989121615335
"oaallan","CSC226-001-BARNES-F16",-8.44205653914892,-0.0779302704775459,0.892027234677247,0.143467670679767
"acluck","CSC226-002-BARNES-F16",2.8000521219909,-0.408865930297104,2.15818326467681,-0.143584715990042
"lmphears","CSC226-002-BARNES-F16",-5.21581536279275,-0.687851667389646,-0.0474118262906842,-0.133335236383821
"mdsirio","CSC226-002-BARNES-F16",0.349569450585096,0.884161331016784,-0.648890205979549,-0.214363775240385
"tmarche","CSC226-002-BARNES-F16",4.07346906897244,1.12734145893294,-3.73679034702919,-0.765858905258297
"hfernan","CSC226-002-BARNES-F16",1.46334161905081,-2.5240952945185,-2.12491824986593,1.1261337399648
"akothar3","CSC226-001-BARNES-F16",-0.29591147778586,-1.24978718614127,1.80606824539551,0.561826508618935
"aawatson","CSC226-001-BARNES-F16",-1.92114019261244,3.03337917808295,4.60678114039081,3.78456085104862
"ncluther","CSC226-001-BARNES-F16",-4.82446432020854,1.75303619767786,-2.75020025819744,0.346514476386716
"dagarwa3","CSC226-002-BARNES-F16",-5.91720956575199,5.37869933763703,-8.65174845210623,0.680497532880692
"jmrodri2","CSC226-002-BARNES-F16",-2.92907250903291,-0.44212290872401,2.75393051125051,0.738691101838253
"stparham","CSC226-002-BARNES-F16",5.26452114985696,0.847769812078497,0.735248062463314,0.385184318753518
"dphall3","CSC226-002-BARNES-F16",4.23050288290101,-0.500867104034835,1.31993209709483,-0.759449167982754
"gaspillm","CSC226-001-BARNES-F16",3.51440202310271,-1.71365129180062,-2.98574323822055,0.723521502389673
"jbcarpe4","CSC226-002-BARNES-F16",2.8012832550504,-1.84268903059784,0.415140855683517,-0.435497206019661
"yzhan101","CSC226-001-BARNES-F16",0.778385031882204,2.62028916769736,-2.30981434780677,-0.93018423301419
"gghugh","CSC226-002-BARNES-F16",4.6789091997586,1.38838746300054,0.666946033172632,-1.18127785436996
"jrodrig6","CSC226-001-BARNES-F16",-5.27299679394826,5.64213170419083,1.06774062667178,1.48383585064445
"hmorris3","CSC226-002-BARNES-F16",1.86758232090975,1.17561801118778,2.41238259119683,3.39301187327663
"jjndon","CSC226-002-BARNES-F16",-1.50578259762418,-0.536356533340296,2.13256741051904,-0.915749937654988
"tmoore2","CSC226-001-BARNES-F16",-20.8384130259714,1.42622645206316,2.62593466334798,2.00028409853647
"arrohlof","CSC226-002-BARNES-F16",2.95749411464069,-0.985470384506327,-0.133353696615908,-0.155049083623366
"ajgoins","CSC226-002-BARNES-F16",2.88601657191382,-3.46556904231298,-2.16671694796483,-0.481854878629773
"cndrotor","CSC226-001-BARNES-F16",3.12975607322616,3.17434030062934,1.8108780330572,-2.04610469080572
"skuloor","CSC226-001-BARNES-F16",2.75719421749309,2.99865303310667,0.0882860903256348,0.668299905334511
"amshaikh","CSC226-001-BARNES-F16",0.0867099102543639,-0.667093747516584,2.14446804736475,-0.206260330743673
"jchackim","CSC226-002-BARNES-F16",3.4215455790484,-1.75851055871095,-0.755528978000555,1.76111406687747
"mcphill3","CSC226-001-BARNES-F16",2.46410825903208,-1.43737454948234,-0.312377943665504,0.914858964085992
"dbadvel","CSC226-002-BARNES-F16",-0.267694036149941,0.689259653531309,2.46131516432901,-1.02261887591507
"dskenlin","CSC226-002-BARNES-F16",6.51236898481396,-0.0859469829802998,-1.7530718351259,2.46955621116923
"kli11","CSC226-002-BARNES-F16",-2.08820816488562,-2.43942507175478,-2.19569512325093,-1.14584732315923
"mhalawa","CSC226-002-BARNES-F16",4.75819265876109,0.194968371018989,2.33299196224906,-0.296482758878432
"lmtavare","CSC226-002-BARNES-F16",-2.66022374806715,-1.12620035631206,-1.51522861484261,-1.2747227003357
"gcwatts","CSC226-001-BARNES-F16",0.664678729794958,0.231190033158217,0.316040594850746,0.0103317249831132
"nrsherr2","CSC226-002-BARNES-F16",-0.470415924784959,-0.962665846300288,-0.944951395312996,1.58657847267346
"adevula","CSC226-002-BARNES-F16",3.8561194002203,4.25700168428351,1.06810463931015,1.79781677035319
"rhowlan","CSC226-001-BARNES-F16",3.15050595333798,0.727558792068269,0.279731651628131,-0.640228706593599
"cbbhesan","CSC226-001-BARNES-F16",4.75144833124282,1.74662859966575,0.916027780447677,0.98913175331291
"kgwrigh2","CSC226-001-BARNES-F16",-0.153711673656812,0.462982083189525,2.17774543520699,-1.09575046674151
"tareddin","CSC226-001-BARNES-F16",-3.15570490793536,0.265811634995136,-1.14828015341786,0.719273729513962
"mrdowns","CSC226-002-BARNES-F16",3.11426042330561,-0.250250480143074,2.07017052107377,-0.0754077360885004
