student,course,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimeWE,avgstepTimePS,stepTimeDeviation,UseCount,PrepCount,MorphCount,OptionalCount,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp
tliu18,CSC226-001-BARNES-F16,2052,20,19196.229,19052.335,143.894,9.189195309,3.59735,9.298357735,15.55149446,132,115,258,163,285,241,428,342,86,0.138585394,2.252336449,0.261105092,1799,5,1495,309,1804,5,65,1739,0.963968958,0.011086475,0.036031042,26,25,0,91
cmwill28,CSC226-001-BARNES-F16,743,0,2406.489,2316.181,90.308,3.105147097,1.389353846,3.262226761,6.028001438,61,37,50,8,152,104,52,30,22,0.178082192,0.99047619,0.301886792,623,0,623,0,623,6,39,584,0.937399679,0,0.062600321,84,31,0,19
jaballan,CSC226-001-BARNES-F16,3081,129,19316.317,18779.393,536.924,6.19708598,8.802032787,6.145089332,11.70142581,126,72,207,24,673,240,189,90,99,0.109839817,1.061946903,0.199087516,2443,1,2295,149,2444,2,259,2185,0.894026187,0.052782324,0.105973813,632,42,0,61
apgering,CSC226-001-BARNES-F16,1430,29,8633.857,8556.267,77.59,5.893417747,1.650851064,6.034038787,10.34288188,154,96,68,40,245,151,207,131,76,0.136404697,1.1796875,0.244534413,1220,0,1168,52,1220,2,113,1107,0.907377049,0.023770492,0.092622951,9,33,0,15
afranci,CSC226-001-BARNES-F16,1799,83,8829.763,8525.12,304.643,4.804005985,6.923704545,4.752017837,9.340679025,131,82,120,11,563,215,129,49,80,0.195810565,1.919642857,0.355371901,1272,3,1275,0,1275,1,177,1098,0.861176471,0.065098039,0.138823529,55,28,1,19
cmharri5,CSC226-002-BARNES-F16,1484,69,9380.557,9073.088,307.469,6.167361604,6.684108696,6.151246102,10.90775429,100,99,97,10,276,145,162,74,88,0.127192982,1.355140187,0.23255814,1241,4,1149,96,1245,4,105,1140,0.915662651,0.055421687,0.084337349,173,25,1,31
rjalexan,CSC226-002-BARNES-F16,742,1,4844.801,4759.807,84.994,6.235265122,1.573962963,6.583412172,10.9365739,54,50,40,14,126,112,46,28,18,0.186046512,1.009009009,0.314165498,645,6,651,0,651,0,49,602,0.924731183,0.001536098,0.075268817,142,42,0,16
ajfelion,CSC226-002-BARNES-F16,1942,6,10028.287,9472.489,555.798,5.090501015,6.462767442,5.027860403,9.049597896,109,110,138,59,323,206,211,138,73,0.132135985,1.82300885,0.246411483,1647,0,1227,420,1647,2,88,1559,0.94656952,0.003642987,0.05343048,38,52,2,43
rabaraho,CSC226-002-BARNES-F16,1240,2,9404.855,9029.02,375.835,7.347542969,4.52813253,7.543040936,12.45110359,89,59,99,9,270,159,97,70,27,0.165625,1.292682927,0.293628809,1010,0,1010,0,1010,6,50,960,0.95049505,0.001980198,0.04950495,81,24,1,31
jwbober,CSC226-001-BARNES-F16,1602,4,7335.159,7114.278,220.881,4.478119048,3.155442857,4.537167092,6.780403429,129,67,172,23,302,233,158,118,40,0.184044234,1.778625954,0.33357194,1332,4,1318,18,1336,0,70,1266,0.94760479,0.002994012,0.05239521,84,48,0,38
xrao,CSC226-001-BARNES-F16,733,0,3878.859,3630.091,248.768,5.083694626,3.316906667,5.276295058,8.567990748,67,53,43,5,129,114,54,25,29,0.195540309,1.085714286,0.331395349,634,0,634,0,634,0,51,583,0.91955836,0,0.08044164,30,36,10,14
skcoleba,CSC226-002-BARNES-F16,828,7,7765.953,7489.296,276.657,8.946950461,5.646061224,9.14443956,15.06497621,68,69,61,14,147,181,31,24,7,0.275075988,1.483606557,0.464102564,720,1,720,1,721,6,63,658,0.912621359,0.009708738,0.087378641,6,30,0,18
jhpatel4,CSC226-001-BARNES-F16,1199,2,8508.15,8290.576,217.574,6.894773096,6.2164,6.91457548,10.7839186,81,70,100,43,193,158,136,68,68,0.156590684,1.490566038,0.283408072,1041,0,1041,0,1041,0,32,1009,0.969260327,0.00192123,0.030739673,210,25,0,18
ncstone3,CSC226-002-BARNES-F16,1299,8,5250.055,5010.344,239.711,3.944444027,2.663455556,4.037344077,8.548473947,87,76,63,14,279,141,101,79,22,0.145661157,1.247787611,0.260869565,1052,0,642,410,1052,1,84,968,0.920152091,0.007604563,0.079847909,131,58,0,0
masultan,CSC226-001-BARNES-F16,3061,70,14628.993,14108.972,520.021,4.711430918,9.123175439,4.628927822,8.601947386,157,90,246,127,547,284,336,98,238,0.12059448,1.028985507,0.215887495,2550,8,2538,20,2558,6,203,2355,0.920641126,0.027365129,0.079358874,474,35,5,70
oaallan,CSC226-001-BARNES-F16,3019,48,16704.579,16440.746,263.833,5.448329746,4.255370968,5.472951398,10.09772909,299,194,279,70,449,274,569,280,289,0.111246447,0.904290429,0.198120029,2617,0,2555,62,2617,0,154,2463,0.941153993,0.018341613,0.058846007,1,35,0,75
acluck,CSC226-002-BARNES-F16,1026,9,7549.899,7290.324,259.575,7.136010397,6.180357143,7.175515748,11.76241586,99,59,71,3,204,152,80,50,30,0.188585608,1.433962264,0.333333333,845,9,854,0,854,0,48,806,0.943793911,0.010538642,0.056206089,3,30,0,9
lmphears,CSC226-002-BARNES-F16,2441,50,12182.459,12008.386,174.073,4.91624657,3.868288889,4.935629264,9.206258205,184,160,211,92,383,245,402,203,199,0.124745418,0.897435897,0.219043362,2094,1,2092,3,2095,0,131,1964,0.937470167,0.023866348,0.062529833,158,29,3,61
mdsirio,CSC226-002-BARNES-F16,1674,26,9096.43,8624.961,471.469,5.325778689,4.962831579,5.347154991,9.6890269,89,79,105,22,383,188,107,86,21,0.156797331,1.693693694,0.287022901,1311,14,1319,6,1325,1,126,1199,0.90490566,0.019622642,0.09509434,78,54,8,21
tmarche,CSC226-002-BARNES-F16,1212,0,4245.013,3528.816,716.197,3.426160613,5.189833333,3.205100817,6.133656106,42,38,21,5,648,86,20,11,9,0.172344689,0.811320755,0.284297521,591,0,591,0,591,12,92,499,0.844331641,0,0.155668359,57,53,16,9
hfernan,CSC226-002-BARNES-F16,1456,25,4697.91,4595.042,102.868,3.161446837,1.904962963,3.208828212,4.671417732,73,83,73,13,437,161,81,52,29,0.165128205,1.490740741,0.297322253,1047,2,855,194,1049,0,74,975,0.929456625,0.023832221,0.070543375,150,36,3,51
akothar3,CSC226-001-BARNES-F16,1458,7,9193.001,9089.541,103.46,6.140949232,2.111428571,6.27730732,12.07524606,156,93,107,61,219,198,219,122,97,0.162695152,1.424460432,0.292035398,1278,0,1278,0,1278,2,61,1217,0.952269171,0.005477308,0.047730829,5,36,0,23
aawatson,CSC226-001-BARNES-F16,1883,13,18601.969,18361.723,240.246,9.734154369,2.555808511,10.10551624,13.98310902,110,91,146,96,370,323,121,98,23,0.229403409,2.963302752,0.425840475,1541,0,929,612,1541,18,133,1408,0.913692408,0.00843608,0.086307592,28,53,3,29
ncluther,CSC226-001-BARNES-F16,2696,127,11853.614,11554.799,298.815,4.337216978,4.597153846,4.330884183,7.528254976,139,120,178,62,526,252,247,161,86,0.127594937,2.1,0.240572792,2203,4,2140,67,2207,8,232,1975,0.894879928,0.057544178,0.105120072,385,40,9,62
dagarwa3,CSC226-002-BARNES-F16,3437,308,11264.404,11161.321,103.083,3.240622555,2.06166,3.257828663,6.736002863,152,94,180,32,894,215,243,88,155,0.103018687,0.567282322,0.174371452,2579,3,2560,22,2582,4,495,2087,0.808288149,0.119287374,0.191711851,381,28,6,45
jmrodri2,CSC226-002-BARNES-F16,2128,7,14593.761,14396.25,197.511,6.759500232,3.405362069,6.852094241,12.13501304,178,102,208,34,289,298,224,98,126,0.166946779,2.027210884,0.308488613,1870,0,1867,3,1870,0,85,1785,0.954545455,0.003743316,0.045454545,68,37,3,53
stparham,CSC226-002-BARNES-F16,617,0,4114.142,3702.843,411.299,6.339201849,6.633854839,6.308080068,10.63842139,51,50,38,5,139,115,29,23,6,0.252747253,1.055045872,0.407801418,510,0,484,26,510,2,55,455,0.892156863,0,0.107843137,13,40,8,15
dphall3,CSC226-002-BARNES-F16,750,0,4888.091,4567.937,320.154,6.266783333,5.00240625,6.379800279,13.03561052,70,45,45,14,172,103,71,52,19,0.182300885,0.971698113,0.307004471,608,0,608,0,608,0,43,565,0.929276316,0,0.070723684,1,30,5,0
gaspillm,CSC226-001-BARNES-F16,1011,21,3096.715,2960.784,135.931,2.97475024,1.914521127,3.052354639,4.733769673,45,51,46,20,310,113,49,32,17,0.173047473,1.056074766,0.297368421,731,0,725,6,731,0,78,653,0.893296854,0.02872777,0.106703146,83,43,0,27
jbcarpe4,CSC226-002-BARNES-F16,1090,5,5717.442,5520.675,196.767,5.086692171,4.471977273,5.111736111,10.16037362,67,54,60,12,265,133,60,32,28,0.164197531,1.242990654,0.290076336,858,1,769,90,859,4,49,810,0.942956927,0.005820722,0.057043073,183,19,3,22
yzhan101,CSC226-001-BARNES-F16,1547,56,8455.551,7854.718,600.833,5.348229602,5.668235849,5.325232542,10.06134374,97,97,58,7,447,117,142,80,62,0.119877049,0.991525424,0.213893967,1123,11,1041,93,1134,6,158,976,0.860670194,0.049382716,0.139329806,43,54,4,13
gghugh,CSC226-002-BARNES-F16,666,0,5152.489,4780.217,372.272,7.456568741,4.772717949,7.798070147,12.32804129,45,33,61,7,120,91,55,32,23,0.179487179,0.858490566,0.296900489,571,0,570,1,571,0,64,507,0.887915937,0,0.112084063,48,48,13,8
jrodrig6,CSC226-001-BARNES-F16,2723,98,22027.82,21584.083,443.737,7.97242852,6.525544118,8.008936178,14.39181232,109,120,209,69,752,310,203,117,86,0.175537939,1.265306122,0.308304326,1994,17,1744,267,2011,24,245,1766,0.878170065,0.048731974,0.121829935,34,42,4,92
hmorris3,CSC226-002-BARNES-F16,1313,27,10195.892,10003.755,192.137,7.502495953,3.694942308,7.653982402,11.12245592,128,87,110,10,266,275,60,45,15,0.27693857,2.235772358,0.492831541,1093,0,953,140,1093,0,100,993,0.908508692,0.024702653,0.091491308,14,37,0,8
jjndon,CSC226-002-BARNES-F16,1801,7,11325.967,10887.59,438.377,6.199215654,7.186508197,6.16511325,11.134689,118,81,153,78,287,195,235,164,71,0.132653061,1.756756757,0.246679317,1540,0,1374,166,1540,2,70,1470,0.954545455,0.004545455,0.045454545,112,42,0,20
tmoore2,CSC226-001-BARNES-F16,6021,79,32610.189,32149.432,460.757,5.379443913,8.227803571,5.352885781,9.971103613,439,264,635,126,1195,470,994,568,426,0.101446147,2.315270936,0.194375517,4865,2,4437,430,4867,0,234,4633,0.951921101,0.016231765,0.048078899,75,40,0,53
arrohlof,CSC226-002-BARNES-F16,1092,2,5014.036,4501.641,512.395,4.4529627,8.133253968,4.23484572,7.69396807,62,74,48,11,297,141,54,39,15,0.184796855,1.305555556,0.323765786,824,5,597,232,829,4,66,763,0.920386007,0.002412545,0.079613993,98,33,0,29
ajgoins,CSC226-002-BARNES-F16,1085,2,3909.207,3878.523,30.684,3.521808108,0.547928571,3.679813093,5.041774153,68,59,42,1,241,98,72,47,25,0.120541205,0.924528302,0.213275299,869,0,738,131,869,0,56,813,0.935558113,0.002301496,0.064441887,213,40,0,8
cndrotor,CSC226-001-BARNES-F16,958,12,7946.072,7011.26,934.812,8.058896552,11.98476923,7.721651982,12.01805167,60,65,83,12,235,129,91,54,37,0.191964286,1.14159292,0.32866242,750,1,751,0,751,4,79,672,0.894806924,0.015978695,0.105193076,31,47,8,28
skuloor,CSC226-001-BARNES-F16,1220,33,8238.701,7744.33,494.371,6.575180367,6.257860759,6.59653322,12.54130642,81,72,89,11,312,183,70,50,20,0.225092251,1.27972028,0.382845188,941,0,927,14,941,0,128,813,0.863974495,0.035069075,0.136025505,0,43,11,6
amshaikh,CSC226-001-BARNES-F16,1454,1,9930.224,9597.155,333.069,6.628987984,5.286809524,6.687912892,10.78141105,100,92,176,5,190,199,174,69,105,0.160096541,1.792792793,0.29394387,1308,0,1246,62,1308,0,65,1243,0.95030581,0.000764526,0.04969419,22,38,3,43
jchackim,CSC226-002-BARNES-F16,1000,0,4178.64,4094.641,83.999,4.041237911,1.584886792,4.173945973,7.948140577,66,61,67,10,222,159,45,42,3,0.213709677,1.485981308,0.373678026,812,0,812,0,812,10,68,744,0.916256158,0,0.083743842,52,36,0,14
mcphill3,CSC226-001-BARNES-F16,1275,20,5842.488,5656.377,186.111,4.477002299,3.649235294,4.510667464,8.497869439,68,46,104,17,466,152,83,49,34,0.19412516,1.407407407,0.341189675,839,0,839,0,839,0,56,783,0.933253874,0.023837902,0.066746126,0,33,0,30
dbadvel,CSC226-002-BARNES-F16,1613,15,11824.436,11284.046,540.39,7.210021951,8.44359375,7.159927665,12.07547927,121,58,170,19,224,200,168,114,54,0.15048909,1.666666667,0.27605245,1416,0,1103,313,1416,0,87,1329,0.938559322,0.01059322,0.061440678,216,43,0,26
dskenlin,CSC226-002-BARNES-F16,445,0,1867.433,1787.215,80.218,3.981733475,1.114138889,4.501801008,8.613307868,43,39,13,5,101,88,12,9,3,0.284789644,0.80733945,0.421052632,368,0,342,26,368,0,59,309,0.839673913,0,0.160326087,4,50,0,0
kli11,CSC226-002-BARNES-F16,2200,33,7437.119,7224.774,212.345,3.326081843,3.217348485,3.32938894,6.131735479,109,134,92,40,486,162,213,118,95,0.098181818,1.472727273,0.184090909,1748,2,1747,3,1750,0,100,1650,0.942857143,0.018857143,0.057142857,442,42,1,28
mhalawa,CSC226-002-BARNES-F16,623,0,4828.498,4440.975,387.523,7.439904468,6.250370968,7.565545145,12.64801918,63,46,39,23,118,110,61,40,21,0.223577236,1.037735849,0.367892977,531,0,531,0,531,0,39,492,0.926553672,0,0.073446328,17,35,0,3
lmtavare,CSC226-002-BARNES-F16,2245,49,9912.169,9702.073,210.096,4.351259438,3.089647059,4.390078281,7.694725643,111,77,146,37,293,199,172,79,93,0.107046799,1.895238095,0.202647658,1984,1,1985,0,1985,6,126,1859,0.936523929,0.024685139,0.063476071,597,45,2,61
gcwatts,CSC226-001-BARNES-F16,1701,5,9530.357,8983.925,546.432,5.515252894,6.139685393,5.481345333,10.75634124,135,64,90,8,617,158,139,83,56,0.153696498,1.373913043,0.276465442,1102,9,520,591,1111,0,83,1028,0.925292529,0.00450045,0.074707471,36,48,11,9
nrsherr2,CSC226-002-BARNES-F16,1774,35,7453.435,7313.377,140.058,4.108839581,2.373864407,4.167166382,8.306964526,153,99,118,25,374,234,162,76,86,0.176072235,1.772727273,0.320328542,1440,0,1341,99,1440,0,111,1329,0.922916667,0.024305556,0.077083333,0,36,8,36
adevula,CSC226-002-BARNES-F16,773,50,7092.707,6823.161,269.546,8.86588375,3.692410959,9.385365887,14.46668944,59,96,53,9,135,143,74,62,12,0.254448399,1.265486726,0.423703704,653,12,664,1,665,0,103,562,0.845112782,0.07518797,0.154887218,63,45,2,17
rhowlan,CSC226-001-BARNES-F16,1003,0,6658.431,6402.014,256.417,6.451968023,3.330090909,6.703679581,12.55309341,77,42,40,23,197,126,56,44,12,0.166446499,1.155963303,0.290993072,835,0,835,0,835,8,78,757,0.906586826,0,0.093413174,63,46,14,17
cbbhesan,CSC226-001-BARNES-F16,716,9,5510.177,5311.951,198.226,7.298247682,3.670851852,7.577676177,13.60371295,56,46,66,4,139,126,46,32,14,0.237288136,0.773006135,0.363112392,616,0,575,41,616,1,85,531,0.862012987,0.01461039,0.137987013,9,40,0,14
kgwrigh2,CSC226-001-BARNES-F16,1599,17,12624.242,12328.089,296.153,7.744933742,4.487166667,7.882409847,12.46155735,75,72,115,34,240,176,120,78,42,0.134969325,1.62962963,0.249291785,1390,0,1332,58,1390,3,86,1304,0.938129496,0.012230216,0.061870504,250,43,0,45
tareddin,CSC226-001-BARNES-F16,2539,52,12665.326,12500.336,164.99,4.924310264,2.062375,5.016186196,9.632441477,123,114,162,28,578,254,174,113,61,0.138646288,2.373831776,0.261990717,1992,2,1899,95,1994,4,162,1832,0.918756269,0.026078235,0.081243731,388,54,8,18
mrdowns,CSC226-002-BARNES-F16,970,7,6707.56,6418.453,289.107,6.734497992,5.900142857,6.777669483,12.28705034,62,48,85,14,199,149,60,42,18,0.199197861,1.405660377,0.348946136,797,0,797,0,797,0,49,748,0.938519448,0.008782936,0.061480552,35,35,0,46
ndboard,CSC226-001-BARNES-F16,2025,55,9076.715,8834.836,241.879,4.380653958,6.202025641,4.345713724,9.143648736,166,107,188,33,470,231,263,123,140,0.158110883,1.54,0.286778399,1600,2,1473,129,1602,12,141,1461,0.911985019,0.034332085,0.088014981,58,28,0,12
pmocher,CSC226-002-BARNES-F16,933,22,5985.075,5384.376,600.699,6.234453125,9.385921875,6.009348214,10.07256729,50,53,60,33,199,127,69,31,38,0.188148148,1.198113208,0.325224072,760,1,761,0,761,8,86,675,0.886990802,0.02890933,0.113009198,43,40,1,31
ccrainea,CSC226-002-BARNES-F16,2178,57,12084.577,11697.911,386.666,5.455790971,7.295584906,5.410689639,10.51976287,110,76,183,67,411,290,146,90,56,0.171902786,2.32,0.3200883,1801,3,1804,0,1804,0,117,1687,0.935144124,0.031596452,0.064855876,188,37,4,83
jipark,CSC226-001-BARNES-F16,718,64,3287.338,3020.315,267.023,4.412534228,4.37742623,4.415665205,8.561024954,55,39,29,2,224,98,27,17,10,0.251928021,0.875,0.391217565,521,0,521,0,521,4,132,389,0.746641075,0.122840691,0.253358925,5,45,0,0
