"student","course","condition","level","Interaction","hintCount","TotalTime","TotalPSTime","TotalWETime","UseCount","PrepCount","MorphCount","OptionalCount","InterfaceErrorCount","RightApp","WrongApp","WrongSemanticsApp","WrongSyntaxApp","FDActionCount","BDActionCount","DirectProofActionCount","InDirectProofActionCount","actionCount","UseWindowInfo","NonPSelements","AppCount","HoverHintCount","NextStepClickCountWE","PreviousStepClickCountWE","deletedApp","avgstepTime","avgstepTimeWE","avgstepTimePS","stepTimeDeviation","PrightAppRatio","RrightAppRatio","F1Score","AppRatio","hintRatio","BlankRatio"
"tliu18","CSC226-001-BARNES-F16","Random",1,707,8,7934.842,7934.842,0,40,26,102,23,123,72,120,101,19,591,2,326,267,593,5,26,567,25,0,0,38,11.0821815642458,0,11.0821815642458,16.6966787922378,0.126984126984127,4.8,0.247422680412371,0.956155143338954,0.0134907251264755,0.0438448566610455
"tliu18","CSC226-001-BARNES-F16","Random",2,981,9,10121.677,10081.717,39.96,62,36,133,69,143,111,190,156,34,850,2,585,267,852,5,32,820,25,5,0,53,10.1598385155466,4.44,10.2119423076923,15.960449644305,0.135365853658537,3.46875,0.26056338028169,0.962441314553991,0.0105633802816901,0.0375586854460094
"tliu18","CSC226-001-BARNES-F16","Random",3,1542,20,14614.764,14524.653,90.111,95,69,203,129,236,172,325,272,53,1321,5,1017,309,1326,5,52,1274,26,12,0,72,9.34760511182109,4.50555,9.4102854368932,15.7025601889776,0.135007849293564,3.30769230769231,0.259426847662142,0.96078431372549,0.0150829562594268,0.0392156862745098
"tliu18","CSC226-001-BARNES-F16","Random",4,1607,20,15263.096,15151.317,111.779,105,73,203,132,244,187,327,272,55,1381,5,1077,309,1386,5,59,1327,26,19,0,72,9.35155079559364,3.85444827586207,9.4508753894081,15.7298629873923,0.140919366993218,2.67142857142857,0.267716535433071,0.957431457431457,0.0144300144300144,0.0425685425685426
"tliu18","CSC226-001-BARNES-F16","Random",5,1795,20,17173.981,17039.179,134.802,110,80,234,136,264,220,341,282,59,1554,5,1250,309,1559,5,64,1495,26,24,0,86,9.4057943107221,3.7445,9.51952566964286,15.6520714886375,0.147157190635452,2.5,0.277953253316488,0.958948043617704,0.0128287363694676,0.0410519563822963
"tliu18","CSC226-001-BARNES-F16","Random",6,2052,20,19171.977,19028.083,143.894,132,115,258,163,279,241,428,342,86,1799,5,1495,309,1804,5,65,1739,26,25,0,91,9.18919530876017,3.59735,9.29835773548072,15.4374406886774,0.138585393904543,2.25233644859813,0.261105092091008,0.963968957871397,0.0110864745011086,0.0360310421286031
"cmwill28","CSC226-001-BARNES-F16","Random",1,170,0,734.008,734.008,0,15,10,1,0,43,15,11,8,3,134,0,134,0,134,6,8,126,44,0,0,0,4.14693785310735,0,4.14693785310735,9.55616274813605,0.119047619047619,1,0.212765957446808,0.940298507462687,0,0.0597014925373134
"cmwill28","CSC226-001-BARNES-F16","Random",2,236,0,919.278,871.274,48.004,20,15,1,0,70,25,11,8,3,176,0,176,0,176,6,13,163,47,5,0,0,3.71263709677419,1.84630769230769,3.93121621621622,8.39434380932932,0.153374233128834,0.833333333333333,0.259067357512953,0.926136363636364,0,0.0738636363636364
"cmwill28","CSC226-001-BARNES-F16","Random",3,348,0,1229.023,1168.752,60.271,27,26,8,0,93,44,17,13,4,270,0,270,0,270,6,19,251,49,11,0,5,3.37386065573771,1.67419444444444,3.55927878787879,7.20379474008264,0.175298804780877,0.88,0.292358803986711,0.92962962962963,0,0.0703703703703704
"cmwill28","CSC226-001-BARNES-F16","Random",4,447,0,1537.397,1469.433,67.964,43,31,8,2,106,56,28,20,8,359,0,359,0,359,6,26,333,68,18,0,5,3.29314925373134,1.51031111111111,3.48236556603774,6.74750121832897,0.168168168168168,0.823529411764706,0.27930174563591,0.927576601671309,0,0.0724233983286908
"cmwill28","CSC226-001-BARNES-F16","Random",5,627,0,2118.102,2041.529,76.573,54,32,36,7,132,84,45,28,17,518,0,518,0,518,6,31,487,79,23,0,15,3.24944885496183,1.44477358490566,3.40833222591362,6.28685172301781,0.172484599589322,0.976744186046512,0.293193717277487,0.94015444015444,0,0.0598455598455598
"cmwill28","CSC226-001-BARNES-F16","Random",6,743,0,2393.14,2302.832,90.308,61,37,50,8,146,104,52,30,22,623,0,623,0,623,6,39,584,84,31,0,19,3.10514709677419,1.38935384615385,3.26222676056338,5.86747472227853,0.178082191780822,0.990476190476191,0.30188679245283,0.937399678972713,0,0.0626003210272873
"jaballan","CSC226-001-BARNES-F16","Random",1,1039,60,7095.489,7095.489,0,26,27,48,17,153,41,77,36,41,896,0,755,141,896,2,99,797,454,0,0,13,6.76405052430886,0,6.76405052430886,12.3239669393091,0.0514429109159348,1.78260869565217,0.1,0.889508928571429,0.0669642857142857,0.110491071428571
"jaballan","CSC226-001-BARNES-F16","Random",2,1514,74,9659.321,9607.638,51.683,47,40,70,21,266,72,106,54,52,1263,0,1120,143,1263,2,124,1139,532,5,0,21,6.31062377531025,6.460375,6.30983716349311,11.7816760023511,0.0632133450395083,1.71428571428571,0.121930567315834,0.901821060965954,0.058590657165479,0.0981789390340459
"jaballan","CSC226-001-BARNES-F16","Random",3,2343,127,14626.398,14441.335,185.063,96,53,122,22,470,148,145,66,79,1893,0,1745,148,1893,2,199,1694,601,10,0,48,6.18378021978022,11.5664375,6.14713234042553,11.6998260541038,0.0873671782762692,2.08450704225352,0.167705382436261,0.894875858425779,0.0670892762810354,0.105124141574221
"jaballan","CSC226-001-BARNES-F16","Random",4,2491,127,15721.208,15383.737,337.471,104,58,134,22,497,165,153,69,84,2015,0,1867,148,2015,2,214,1801,606,24,0,51,6.2508720190779,9.92561764705882,6.20053303787268,11.8243991632087,0.0916157690172127,1.85393258426966,0.174603174603175,0.893796526054591,0.0630272952853598,0.106203473945409
"jaballan","CSC226-001-BARNES-F16","Random",5,2584,127,16171.035,15688.649,482.386,108,58,148,24,529,181,157,71,86,2079,0,1931,148,2079,2,224,1855,608,34,0,51,6.1917156525067,9.45854901960784,6.1266850117096,11.7308618349052,0.0975741239892183,1.69158878504673,0.184505606523955,0.892255892255892,0.0610870610870611,0.107744107744108
"jaballan","CSC226-001-BARNES-F16","Random",6,3081,129,19307.069,18770.145,536.924,126,72,207,24,667,240,189,90,99,2443,1,2295,149,2444,2,259,2185,632,42,0,61,6.19708598010908,8.80203278688525,6.14508933246073,11.7356127446864,0.109839816933638,1.70212765957447,0.206362854686156,0.894026186579378,0.0527823240589198,0.105973813420622
"apgering","CSC226-001-BARNES-F16","Random",1,362,4,1929.251,1929.251,0,39,34,4,27,83,20,84,63,21,289,0,285,4,289,2,21,268,7,0,0,4,5.18615860215054,0,5.18615860215054,7.59141229419412,0.0746268656716418,1.33333333333333,0.141342756183746,0.927335640138408,0.013840830449827,0.0726643598615917
"apgering","CSC226-001-BARNES-F16","Random",2,423,5,2270.756,2221.072,49.684,45,40,4,27,94,28,88,66,22,342,0,338,4,342,2,32,310,7,10,0,4,5.18717123287671,3.54885714285714,5.24126650943396,7.91989328051402,0.0903225806451613,0.875,0.16374269005848,0.906432748538012,0.0146198830409357,0.0935672514619883
"apgering","CSC226-001-BARNES-F16","Random",3,599,11,3774.701,3720.497,54.204,61,59,8,28,126,58,98,71,27,491,0,487,4,491,2,45,446,7,16,0,4,6.09233548387097,2.46381818181818,6.22582608695652,9.81371798480729,0.130044843049327,1.03571428571429,0.231075697211155,0.908350305498982,0.0224032586558045,0.0916496945010183
"apgering","CSC226-001-BARNES-F16","Random",4,1024,11,6522.159,6456,66.159,113,86,24,40,187,101,162,115,47,860,0,808,52,860,2,84,776,9,23,0,5,6.20930922930542,2.00481818181818,6.34560412573674,10.8363969774047,0.130154639175258,1.12222222222222,0.233256351039261,0.902325581395349,0.0127906976744186,0.0976744186046512
"apgering","CSC226-001-BARNES-F16","Random",5,1231,22,7598.525,7523.784,74.741,137,88,41,40,210,118,188,120,68,1047,0,995,52,1047,2,104,943,9,32,0,11,6.02592789223455,1.69865909090909,6.18224958949097,10.5214706271962,0.125132555673383,1.08256880733945,0.224334600760456,0.900668576886342,0.0210124164278892,0.0993314231136581
"apgering","CSC226-001-BARNES-F16","Random",6,1430,29,8626.015,8548.425,77.59,154,96,68,40,239,151,207,131,76,1220,0,1168,52,1220,2,113,1107,9,33,0,15,5.89341774744027,1.65085106382979,6.03403878702398,10.222709900808,0.136404697380307,1.1796875,0.244534412955466,0.907377049180328,0.0237704918032787,0.0926229508196721
"afranci","CSC226-001-BARNES-F16","Random",1,346,38,1884.636,1884.636,0,12,23,10,6,110,31,20,9,11,242,3,245,0,245,1,58,187,28,0,0,5,5.3088338028169,0,5.3088338028169,9.03251647586398,0.165775401069519,2.06666666666667,0.306930693069307,0.763265306122449,0.155102040816327,0.236734693877551
"afranci","CSC226-001-BARNES-F16","Random",2,452,38,2347.009,2246.046,100.963,19,33,14,6,142,45,27,14,13,322,3,325,0,325,1,67,258,31,6,1,5,5.00823667377399,10.0963,4.89738562091503,8.90957251925799,0.174418604651163,1.40625,0.310344827586207,0.793846153846154,0.116923076923077,0.206153846153846
"afranci","CSC226-001-BARNES-F16","Random",3,1304,83,7015.052,6874.412,140.64,90,60,74,8,400,147,85,26,59,923,3,926,0,926,1,148,778,53,11,1,16,5.28740933032355,8.27294117647059,5.24872484756098,10.2331441715897,0.188946015424165,2.625,0.352517985611511,0.840172786177106,0.0896328293736501,0.159827213822894
"afranci","CSC226-001-BARNES-F16","Random",4,1433,83,7486.325,7256.797,229.528,109,66,74,8,446,164,93,26,67,1009,3,1012,0,1012,1,157,855,53,18,1,16,5.12975991792066,7.91475862068966,5.07339916259595,9.98401499285931,0.191812865497076,2.21621621621622,0.353067814854682,0.844861660079051,0.0820158102766798,0.155138339920949
"afranci","CSC226-001-BARNES-F16","Random",5,1636,83,8380.661,8082.871,297.79,116,69,107,10,512,189,113,40,73,1151,3,1154,0,1154,1,174,980,55,27,1,17,5.02460502692998,7.26317073170732,4.96829754601227,9.69819717876237,0.192857142857143,2.03225806451613,0.352283317800559,0.849220103986135,0.0719237435008666,0.150779896013865
