"student","course","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"tliu18","CSC226-001-BARNES-F16",-10.389143865576,2.76754520411515,-3.65938754345242,0.0794629163060658,3.09865745545722,2.07497752299127,0.504501321761559
"tliu18","CSC226-001-BARNES-F16",-2.5890858954998,0.905648398704411,-2.81326505532887,-0.641668390190825,-0.180296473926275,0.437173204479565,-0.870931098658076
"tliu18","CSC226-001-BARNES-F16",-7.71181399036346,1.46475951054868,-1.96315925762708,-1.11219363351371,0.692815378822083,1.04275439977167,-1.44763930138006
"tliu18","CSC226-001-BARNES-F16",2.77532804949578,3.16585371376444,-2.6863353927109,0.411213586081871,0.990550304533998,0.703702224957958,-0.667790503345266
"tliu18","CSC226-001-BARNES-F16",0.219358310756746,2.21665484385897,-3.61291714614301,0.0815215327273466,0.397565520070196,-0.142681526671922,0.166072194412843
"tliu18","CSC226-001-BARNES-F16",-2.41578823222868,0.491239075857635,-2.85547446954809,0.669242073965944,-1.9831023658044,1.40909059706978,-2.27043759847016
"cmwill28","CSC226-001-BARNES-F16",1.11600675437365,-0.920798686929522,-0.619594672532841,2.45956583417048,-1.37430228381172,1.57754056424729,1.17172376838661
"cmwill28","CSC226-001-BARNES-F16",3.62535903053581,-1.71476997911751,0.494038346229432,0.486805013803125,0.603082523993734,0.0403287868096557,0.181552435810169
"cmwill28","CSC226-001-BARNES-F16",2.54285424687617,-2.4034061880866,0.0410710743402124,0.641871758263107,0.237298282302488,-0.119638177236069,0.12681825000567
"cmwill28","CSC226-001-BARNES-F16",2.44376698486422,-1.9804230069632,0.242743905244719,0.790601846007852,-1.14786561808654,0.50710665398184,-0.568094496418637
"cmwill28","CSC226-001-BARNES-F16",1.18372218783702,-2.43394054083217,-0.623995467051603,0.418417201456231,0.0482597445007637,-0.36623836427894,0.246570167998988
"cmwill28","CSC226-001-BARNES-F16",2.55805382159031,-2.63746845184396,0.489568293513684,0.347916708570245,0.21697563464628,-0.0927544359507431,0.102559330041711
"jaballan","CSC226-001-BARNES-F16",-10.9193916218949,2.18738057908625,3.06617158079648,2.87572170715075,-2.17193395254877,-2.18101399066554,1.2966870428033
"jaballan","CSC226-001-BARNES-F16",-2.11308121118886,0.434756709678132,0.320273904354363,0.35295808417664,-1.96285125082529,-1.12821192809859,0.086787397578929
"jaballan","CSC226-001-BARNES-F16",-6.66523456155688,3.03394362138632,2.93421736402613,-0.839513688658707,-0.464151543362788,-4.90187480268659,1.33388407474606
"jaballan","CSC226-001-BARNES-F16",1.96302020044925,2.20913409614834,-0.552722337252331,-1.97115597096672,-1.07225559817674,0.121684914544599,-0.000135921547001754
"jaballan","CSC226-001-BARNES-F16",3.42527029398957,0.204476975272379,0.588519574953957,-1.71954026312734,0.958845334893518,-0.43205422911824,0.636912093658204
"jaballan","CSC226-001-BARNES-F16",-2.4153719190638,0.827130940527084,-0.299522475316837,-0.924036414618981,0.615589623524055,-0.453689501833262,0.384580895000638
"apgering","CSC226-001-BARNES-F16",-2.94064380156814,-0.805548265846851,-0.243038177583296,1.65528410281996,-1.64583363708882,1.63420357742079,-1.66635196240344
"apgering","CSC226-001-BARNES-F16",3.21146427056454,1.16555986689931,0.758031486384465,0.126619985507072,-0.41884318581093,0.792077223787701,-0.740024510516434
"apgering","CSC226-001-BARNES-F16",1.01846388383993,1.98382773979229,-1.67003457950093,1.27445212903769,0.69462400140501,-0.0836377225874462,-0.846040538707887
"apgering","CSC226-001-BARNES-F16",-2.87028579645574,0.587154826597153,-0.4181906953759,-0.054307637485357,-0.0616708392886391,1.25115320160198,-2.10216110127704
"apgering","CSC226-001-BARNES-F16",0.524780360252426,0.225573672103275,0.755372150707302,1.1246960163189,-1.35237575622276,-0.261749850256831,-1.26499518797164
"apgering","CSC226-001-BARNES-F16",0.724905904711,-0.625290455394213,-0.967863460641063,1.46885412148169,0.537460547070738,-0.856561696494276,-0.301408307588987
"afranci","CSC226-001-BARNES-F16",-1.39092543950023,2.45655851537624,3.40253782215588,4.15526978436518,0.847451304452599,-1.83006985157855,-0.00883636400452924
"afranci","CSC226-001-BARNES-F16",2.78676430891553,-0.415316067916923,0.361238537689381,-1.00998649090514,-0.718619360143924,-0.244781470385827,0.434182603710335
"afranci","CSC226-001-BARNES-F16",-7.64026956676781,1.60912544650896,2.42029649364488,0.438103999968922,2.77075200526951,-3.61078284378293,0.0288290961993365
"afranci","CSC226-001-BARNES-F16",2.6583112676199,-0.990214311309422,0.353253372383102,-0.712894752554512,-0.0991366161955944,-0.361329668073018,0.168635455920411
"afranci","CSC226-001-BARNES-F16",1.51001074736723,-0.525309089084146,0.32555617117955,-0.799364345857283,0.326665596196305,-0.082666562960825,0.0670934965615497
"afranci","CSC226-001-BARNES-F16",1.73254455847636,-2.6666313579617,-0.753851245782537,0.924342245775504,0.40822912882873,-0.449737960586676,0.0570285112843206
"cmharri5","CSC226-002-BARNES-F16",-1.14954582732847,2.17570809947623,1.00246743282299,3.46783219508518,-1.17957416146542,-1.22142626351264,-1.91460329695114
"cmharri5","CSC226-002-BARNES-F16",0.59141162583808,2.79238454804725,1.10059375789647,0.908965861005906,-1.90143240540194,-0.39396880664437,0.514982221105492
"cmharri5","CSC226-002-BARNES-F16",1.07668195873866,-1.36281100400554,-0.506552788509332,-0.293292250216014,-1.44863515123544,-0.288368824847531,-0.115653308499481
"cmharri5","CSC226-002-BARNES-F16",0.451544019783177,0.227038875142602,-0.623492451694044,0.0876029578626954,-1.545122582251,-0.136451744416585,-0.588230750390523
