"student","problem.ward","problem.average","problem.median","problem.complete"
"aaltaf",1,1,1,1
"aawatson",1,1,1,1
"acantre",3,1,1,1
"acflint",2,1,1,2
"acluck",1,1,1,1
"adevula",1,1,1,1
"admaycoc",3,1,1,1
"adwall4",3,1,1,2
"aeezhila",2,1,1,2
"afranci",3,1,1,1
"agadler",3,1,1,1
"agdavis5",3,1,1,1
"ahchowdh",3,1,1,1
"ajfelion",3,1,1,1
"ajgoins",2,1,1,2
"ajstrapp",2,1,1,2
"akgarcia",3,1,1,1
"akiyeng2",3,1,1,1
"akothar3",3,1,1,1
"amosolf",2,1,1,2
"amshafe2",1,1,1,1
"amshaikh",3,1,1,1
"anfisher",3,1,1,2
"anpeeple",2,1,1,2
"anshafer",1,1,1,1
"apgering",3,1,1,1
"aphuggin",1,1,1,1
"arrohlof",3,1,1,1
"asuh",1,1,1,1
"athapa",2,1,3,3
"azrowe",3,1,1,2
"bcboyle",3,1,1,1
"bknagy",3,1,1,2
"cbbhesan",1,1,1,1
"ccrainea",3,1,1,1
"cjhall3",2,1,1,2
"cjhetzle",3,1,1,1
"cjparke",3,1,1,2
"cmfitzg2",2,1,1,2
"cmharri5",3,1,1,2
"cmwill28",2,1,1,2
"cndrotor",1,1,1,1
"cnkeesee",3,1,1,2
"crdurand",3,1,1,1
"ctripoll",3,1,1,1
"cwcarrol",3,1,1,2
"dagarwa3",2,2,2,3
"dbadvel",3,1,1,1
"dhochst",1,1,1,1
"djbaucom",1,1,1,1
"djmock",3,1,1,1
"dkarami",2,1,1,2
"dpelliot",2,1,1,2
"dphall3",1,1,1,1
"dpmoody",3,1,1,2
"dskenlin",3,1,1,1
"dsmonaza",3,1,1,1
"eadunlop",3,1,1,1
"ebbode",3,1,1,2
"ejfinle2",2,1,1,2
"gaspillm",2,1,1,2
"gcwatts",3,1,1,1
"gghugh",1,1,1,1
"gjabell",3,1,1,1
"gkprufer",3,1,1,2
"gnswain",3,1,1,1
"grbalsha",1,1,1,1
"hehendr2",3,1,1,1
"hfernan",2,1,1,2
"hhpatel",1,1,1,1
"hmorris3",1,1,1,1
"hrgoldin",3,1,1,1
"hsnelakk",3,1,1,2
"htcollin",1,1,1,1
"jaballan",3,1,1,2
"jamacle2",3,1,1,1
"jbcarpe4",3,1,1,1
"jchackim",2,1,1,2
"jcwall",2,1,1,2
"jethoma8",3,1,1,1
"jfwang2",3,1,1,1
"jgschwab",2,1,1,2
"jhoh",3,1,1,1
"jhpatel4",3,1,1,2
"jipark",3,1,1,1
"jjndon",3,1,1,1
"jjravi",3,1,1,1
"jli29",3,1,1,2
"jmrodri2",1,1,1,1
"jmwhitta",3,1,1,2
"jnparmar",1,1,1,1
"jpferrer",3,1,1,2
"jrbell2",2,1,1,2
"jrodrig6",1,1,1,1
"jrticati",3,1,1,1
"jrtuttl2",3,1,1,1
"jtirene",2,1,1,2
"jtnelso3",1,1,1,1
"jtoverto",3,1,1,1
"jwbober",2,1,1,2
"jwjenni2",3,1,1,1
"kdmidge2",3,1,1,2
"kenewell",1,1,1,1
"kgwrigh2",3,1,1,1
"kli11",2,1,1,2
"kmpatel7",1,1,1,1
"kpowczar",3,1,1,1
"lbgesner",3,1,1,2
"ldremigi",1,1,1,1
"lmphears",3,1,1,2
"lmtavare",2,1,1,2
"ltmcmill",3,1,1,2
"ltran3",2,1,1,2
"ltschroc",2,1,1,2
"lvboyd",3,1,1,2
"masultan",3,1,1,2
"mcphill3",3,1,1,1
"mcwalte2",2,1,1,2
"mdsirio",3,1,1,1
"mhalawa",1,1,1,1
"mjcanzia",3,1,1,2
"mjdivinc",3,1,1,1
"mklemons",3,1,1,1
"mlcarswe",3,1,1,1
"mrdowns",1,1,1,1
"mschlei",1,1,1,1
"msubram3",2,3,1,3
"mtsmith8",3,1,1,1
"ncluther",3,1,1,2
"ncstone3",2,1,1,2
"ndboard",3,1,1,1
"nkhulla",3,1,1,2
"nlwrenn",1,1,1,1
"nnshirse",1,1,1,1
"nrducret",2,1,1,2
"nrsherr2",3,1,1,2
"oaallan",3,1,1,2
"pasoloni",3,1,1,1
"pjlee2",1,1,1,1
"pkamala",3,1,1,2
"pkamin",3,1,1,1
"pmocher",1,1,1,1
"pnholton",3,1,1,1
"psingh8",3,1,1,2
"qliao",3,1,1,2
"qyjones",3,1,1,1
"rabaraho",1,1,1,1
"racavan2",3,1,1,1
"razeitle",1,1,1,1
"rdmarshb",2,1,1,2
"rfseligs",2,1,1,2
"rhowlan",1,1,1,1
"rjalexan",3,1,1,1
"rjwoods4",1,1,1,1
"rkjaouha",3,1,1,1
"rkkrache",2,1,1,2
"rneby",2,1,1,2
"sacynamo",3,1,1,1
"salille2",2,1,1,2
"skcoleba",1,1,1,1
"skuloor",1,1,1,1
"slgerald",1,1,1,1
"smtate2",3,1,1,2
"snhender",3,1,1,1
"sranga",2,1,1,2
"ssbagade",2,1,1,2
"stparham",1,1,1,1
"swang41",1,1,1,2
"tadicke3",2,1,1,2
"tareddin",2,1,1,2
"tjfallon",3,1,1,1
"tjschomb",3,1,1,1
"tliu18",1,1,1,1
"tmarche",2,1,1,2
"tmoore2",3,1,1,2
"tskropie",2,1,1,2
"tsstuelk",2,1,1,2
"vmaktha",3,1,1,1
"wdcosta",3,1,1,1
"wdhaskin",2,1,1,2
"wjbaker2",2,1,1,2
"wjiang7",3,1,1,2
"wjmeyers",1,1,1,1
"wma8",1,1,1,1
"xrao",3,1,1,1
"yzhan101",3,1,1,1
"yzhu24",3,1,1,2
"zyuan3",3,1,1,2
