"student","course","currLevel","PC1","PC2","PC3","PC4","PC5","PC6"
"tliu18","CSC226-001-BARNES-F16",1,-21.1807275159655,-3.02903160675622,-3.5286906884298,-2.664842991901,3.8176455495297,4.25281594967065
"tliu18","CSC226-001-BARNES-F16",1,0.524496742553741,1.59392813030689,-2.96646612525649,1.07775636497643,0.278662066671226,-0.795080367209106
"tliu18","CSC226-001-BARNES-F16",1,-2.66866582339909,1.57390705427084,-4.12039279149945,-0.0140349986012989,-0.516616061143871,-0.658313186142454
"tliu18","CSC226-001-BARNES-F16",1,-1.33193538878944,1.620405859258,-2.37430652609212,-0.419255340049862,-0.461696361185432,-0.558211172854538
"tliu18","CSC226-001-BARNES-F16",2,0.204947364429866,2.15718664700326,-2.38935712846731,-0.707465246869587,0.373618321577627,-0.210616811261098
"tliu18","CSC226-001-BARNES-F16",2,-0.0347007936079891,1.90355458258744,-1.91809078030464,-0.410959079949012,0.45839891725764,-0.282398680554286
"tliu18","CSC226-001-BARNES-F16",2,2.86444621355066,-2.45189074641488,-0.538348549188294,-0.360841018476387,0.207223458512548,-0.0207906043076264
"tliu18","CSC226-001-BARNES-F16",2,-8.42473317026747,-0.513634164578219,-1.64014675584412,-0.939573155379269,-2.68355732247498,-0.984657347309357
"tliu18","CSC226-001-BARNES-F16",3,-22.2824114629887,-2.87360477778802,-1.61013524658242,-2.42935711871095,0.352123104453173,-0.424204380015549
"tliu18","CSC226-001-BARNES-F16",3,2.51197786219404,-0.295011305007559,-0.911207438345159,-0.187772655574472,-0.504710476888198,-0.0722765750904311
"tliu18","CSC226-001-BARNES-F16",3,2.88751844543631,-2.45501183670948,-0.502572453769445,-0.3692948544697,0.17055345077714,-0.0445942784840884
"tliu18","CSC226-001-BARNES-F16",3,-0.49084766271887,1.52515756792851,-2.21759757704166,0.329991759262441,-0.828493088522067,-0.0916582002331915
"tliu18","CSC226-001-BARNES-F16",4,1.11662419616539,2.70268280534182,-2.97701571894207,-0.825341545455037,0.868063228870691,-0.214205806335181
"tliu18","CSC226-001-BARNES-F16",4,2.83411637250422,-2.35350545598834,0.251923799139515,-0.153212239878884,0.404221720499865,0.087661733453749
"tliu18","CSC226-001-BARNES-F16",4,0.557966544887486,2.21315900295216,-2.79782873828638,-0.280913822293248,0.0365364599021095,-0.183609399953721
"tliu18","CSC226-001-BARNES-F16",5,2.83700764242967,-2.12094304098944,-0.116377661950266,-0.18658679688157,0.248095955843951,0.0267071200797106
"tliu18","CSC226-001-BARNES-F16",5,0.288656672440955,2.38907954333452,-3.92262827470005,-0.330832820921474,0.14951129291343,-0.401297070668552
