"student","problem","level"
"aaltaf",1,1
"aawatson",3,1
"acantre",1,1
"acflint",2,2
"acluck",1,1
"adevula",3,1
"admaycoc",1,2
"adwall4",3,2
"aeezhila",2,2
"afranci",2,2
"agadler",3,2
"agdavis5",1,1
"ahchowdh",3,2
"ajfelion",2,2
"ajgoins",2,2
"ajstrapp",2,3
"akgarcia",3,2
"akiyeng2",3,2
"akothar3",3,3
"amosolf",2,2
"amshafe2",1,1
"amshaikh",1,3
"anfisher",1,3
"anpeeple",2,2
"anshafer",1,1
"apgering",2,3
"aphuggin",1,1
"arrohlof",1,3
"asuh",1,1
"athapa",2,3
"azrowe",2,2
"bcboyle",2,3
"bknagy",2,1
"cbbhesan",1,1
"ccrainea",1,2
"cjhall3",2,2
"cjhetzle",3,2
"cjparke",2,2
"cmfitzg2",2,3
"cmharri5",2,3
"cmwill28",2,2
"cndrotor",1,1
"cnkeesee",2,3
"crdurand",1,2
"ctripoll",3,2
"cwcarrol",2,3
"dagarwa3",2,2
"dbadvel",1,1
"dhochst",3,1
"djbaucom",1,1
"djmock",1,3
"dkarami",2,2
"dpelliot",2,2
"dphall3",1,1
"dpmoody",2,3
"dskenlin",3,2
"dsmonaza",3,2
"eadunlop",3,1
"ebbode",3,1
"ejfinle2",2,2
"gaspillm",2,2
"gcwatts",1,1
"gghugh",1,1
"gjabell",3,1
"gkprufer",1,3
"gnswain",3,2
"grbalsha",1,1
"hehendr2",2,3
"hfernan",2,2
"hhpatel",2,1
"hmorris3",3,1
"hrgoldin",3,2
"hsnelakk",2,3
"htcollin",1,1
"jaballan",1,1
"jamacle2",3,2
"jbcarpe4",2,2
"jchackim",3,2
"jcwall",2,3
"jethoma8",2,2
"jfwang2",1,3
"jgschwab",3,2
"jhoh",1,1
"jhpatel4",3,2
"jipark",3,2
"jjndon",1,1
"jjravi",2,2
"jli29",2,3
"jmrodri2",1,1
"jmwhitta",2,3
"jnparmar",1,1
"jpferrer",2,2
"jrbell2",2,3
"jrodrig6",1,1
"jrticati",2,1
"jrtuttl2",3,2
"jtirene",2,2
"jtnelso3",1,1
"jtoverto",3,2
"jwbober",2,2
"jwjenni2",1,3
"kdmidge2",2,3
"kenewell",1,1
"kgwrigh2",1,2
"kli11",2,3
"kmpatel7",1,1
"kpowczar",3,2
"lbgesner",2,3
"ldremigi",1,1
"lmphears",2,3
"lmtavare",2,3
"ltmcmill",3,2
"ltran3",2,3
"ltschroc",2,3
"lvboyd",2,3
"masultan",2,3
"mcphill3",2,2
"mcwalte2",2,2
"mdsirio",1,3
"mhalawa",1,1
"mjcanzia",2,3
"mjdivinc",2,3
"mklemons",2,2
"mlcarswe",1,3
"mrdowns",1,1
"mschlei",1,1
"msubram3",2,1
"mtsmith8",3,2
"ncluther",2,2
"ncstone3",2,2
"ndboard",2,3
"nkhulla",2,3
"nlwrenn",1,1
"nnshirse",1,1
"nrducret",2,2
"nrsherr2",3,2
"oaallan",2,3
"pasoloni",1,2
"pjlee2",1,1
"pkamala",2,2
"pkamin",1,3
"pmocher",1,1
"pnholton",1,1
"psingh8",2,3
"qliao",2,3
"qyjones",2,2
"rabaraho",3,1
"racavan2",2,2
"razeitle",1,1
"rdmarshb",3,2
"rfseligs",2,2
"rhowlan",3,1
"rjalexan",3,1
"rjwoods4",1,1
"rkjaouha",2,3
"rkkrache",2,3
"rneby",3,2
"sacynamo",1,1
"salille2",3,2
"skcoleba",1,1
"skuloor",1,1
"slgerald",1,3
"smtate2",1,3
"snhender",1,2
"sranga",3,2
"ssbagade",2,3
"stparham",1,1
"swang41",2,3
"tadicke3",2,2
"tareddin",2,3
"tjfallon",1,3
"tjschomb",3,2
"tliu18",1,1
"tmarche",2,1
"tmoore2",2,3
"tskropie",2,2
"tsstuelk",2,2
"vmaktha",3,2
"wdcosta",2,2
"wdhaskin",2,2
"wjbaker2",2,2
"wjiang7",2,3
"wjmeyers",1,1
"wma8",3,1
"xrao",3,2
"yzhan101",1,3
"yzhu24",2,3
"zyuan3",3,2
