"student","problem","level","last.level","session"
"abalaji",2,4,5,5
"acallred",4,1,1,1
"acray2",1,1,3,2
"adtalask",4,2,2,1
"agamin",4,2,2,5
"agescoba",2,1,2,1
"ahnorris",1,4,5,1
"ajcastel",2,5,4,5
"ajhiller",3,5,2,5
"ajlong4",4,3,1,1
"ajschofi",4,3,4,4
"ajshryoc",4,2,1,3
"ajsmit11",4,3,2,1
"allee5",2,4,1,1
"ancook2",4,3,5,3
"anmcgill",2,5,3,5
"arfranc2",4,3,1,3
"atvohwin",1,4,3,2
"awpoppo",4,4,5,2
"bgwebb",1,4,1,3
"blamdar3",3,2,4,4
"blstone",3,4,1,2
"bpatel6",3,5,3,5
"bprishe",1,4,5,5
"brteuton",2,1,2,3
"bshapir",2,1,5,5
"btnguye3",3,4,4,2
"bwhooks",1,1,1,1
"cawalke7",2,3,5,1
"cdtripp",1,1,3,1
"cgscarbo",2,1,1,5
"chood2",4,2,1,1
"cjchris3",4,5,3,5
"cjlach",3,3,2,3
"cjvalent",2,4,2,1
"clredmon",3,2,4,4
"csdennis",4,2,2,4
"cwtait",1,1,2,1
"dfcawley",4,3,2,1
"drthomp4",4,2,1,1
"dsdiaz",2,1,1,3
"ejmunoz",1,1,1,1
"eli4",1,2,4,1
"ereinst",4,4,1,2
"ervaugha",3,5,2,5
"gbedwar2",3,2,1,1
"gespino",2,4,2,2
"ghbowers",2,5,5,5
"gpuzo",2,2,1,1
"gsflinch",2,1,2,1
"gwaugsbu",4,3,2,3
"hawilson",3,2,4,4
"hli30",2,1,1,3
"hrking",2,5,1,5
"htslaugh",1,4,1,2
"jabeichl",4,5,3,5
"jadrum",2,1,2,2
"jagonza9",2,1,1,1
"jahutche",3,3,2,3
"jamazzol",2,1,1,1
"jchen25",1,1,1,1
"jdmill11",3,2,1,2
"jdpunch",2,1,1,2
"jdwatso5",3,3,2,4
"jeglas",3,3,2,4
"jepriddy",1,4,1,3
"jetubito",4,4,5,1
"jhiltz",2,4,2,2
"jhooper",4,5,3,3
"jkburney",2,2,1,3
"jlchavez",4,4,2,1
"jmdiaz4",2,1,5,5
"jmreesjo",4,3,1,2
"jnpoulos",4,2,1,4
"jpsarle",4,2,5,4
"jsmorga3",1,2,1,1
"jtcasper",1,4,1,3
"jteasow",1,1,1,3
"jtsajor",1,5,1,3
"jwstanl3",2,1,1,3
"jwu7",2,5,1,5
"kdbeall",3,5,2,5
"kekeller",4,4,3,2
"kgjones3",1,1,1,1
"khmarti2",4,5,1,3
"khzhang",4,3,2,1
"kmissa",1,1,2,3
"kpowell",1,3,3,3
"kwrideno",2,1,2,3
"ljacobo",3,2,2,4
"lrrumney",1,3,2,1
"magalla4",4,3,2,3
"mascaram",2,1,2,3
"mcgibson",2,1,1,1
"mehess",2,1,1,2
"mfcallis",4,3,2,1
"mjbloeme",3,2,2,2
"mjlilly",1,1,2,1
"mlalsto3",3,4,2,2
"mmahmed3",2,1,2,2
"mmmasent",2,1,1,1
"mmraviel",3,3,4,3
"nabruins",1,2,1,2
"nkblankl",5,2,1,4
"nmcgove",1,1,1,1
"nranthon",4,2,1,3
"nvakil",2,4,1,3
"nvarma",3,5,3,2
"pdcallis",4,3,1,1
"pkembur",2,2,1,1
"pkhanal",3,4,1,3
"pmryan2",3,5,4,5
"ptqualke",4,1,2,1
"pttemple",2,4,1,1
"pxu6",1,4,2,2
"qwang20",3,2,2,4
"ranewcom",2,1,1,3
"rjpatel2",1,5,3,5
"rmstrube",4,1,2,1
"rncreswe",2,5,1,5
"rnjiwas",2,5,3,5
"rpgrange",1,1,2,1
"rrichar3",1,1,2,3
"sabhalo2",4,2,5,3
"sccantey",1,1,1,1
"scmathew",1,4,2,3
"sdyoung3",1,5,3,3
"sgu",2,1,2,1
"skang7",2,1,2,1
"slee49",2,1,1,3
"smayes",4,1,1,1
"smoneta",2,1,2,1
"snturner",2,1,1,1
"spallred",3,2,2,4
"spkilgan",4,3,2,4
"spschoen",1,2,1,1
"ssyed2",4,2,2,1
"swmay",4,1,1,1
"syu10",4,3,2,1
"tcunnin",4,5,1,3
"tjeagle",1,4,1,1
"tjirons",3,2,3,2
"tjreming",1,5,4,3
"tkalexa2",2,4,3,3
"tlreger",2,1,1,3
"tnpatill",2,5,3,5
"trnielse",2,1,1,2
"twalff",2,1,3,3
"tyu2",3,2,5,4
"vtrenich",2,1,5,2
"wctoohey",1,5,3,5
"wehiggin",1,4,1,2
"xchen27",2,4,2,2
"xma5",1,1,2,1
"ychen63",1,5,2,3
"yhuang30",2,1,1,3
"yliu59",3,5,3,4
"yzhang64",1,1,3,3
"zhuang4",2,1,1,3
