"student","problem","level","last.level","session"
"abalaji",1,4,4,4
"acallred",1,1,1,1
"acray2",1,3,2,1
"adtalask",3,2,1,3
"agamin",3,3,1,4
"agescoba",1,1,1,1
"ahnorris",1,1,4,1
"ajcastel",2,4,3,4
"ajhiller",3,4,1,4
"ajlong4",1,3,1,1
"ajschofi",3,3,3,1
"ajshryoc",1,1,1,1
"ajsmit11",1,3,1,1
"allee5",1,1,1,1
"ancook2",1,1,4,1
"anmcgill",1,4,2,4
"arfranc2",1,3,1,3
"atvohwin",1,4,1,2
"awpoppo",2,1,4,2
"bgwebb",1,4,1,1
"blamdar3",3,3,3,3
"blstone",3,1,1,2
"bpatel6",3,4,3,4
"bprishe",3,2,1,4
"brteuton",2,4,1,1
"bshapir",2,4,4,4
"btnguye3",3,1,3,2
"bwhooks",1,1,1,1
"cawalke7",1,1,4,1
"cdtripp",1,1,2,1
"cgscarbo",1,4,1,4
"chood2",3,1,1,1
"cjchris3",4,4,2,4
"cjlach",3,3,1,1
"cjvalent",1,1,1,1
"clredmon",3,2,3,3
"csdennis",3,1,1,3
"cwtait",1,1,1,1
"dfcawley",3,3,1,1
"drthomp4",3,1,1,1
"dsdiaz",1,4,1,1
"ejmunoz",1,1,4,1
"eli4",1,1,3,1
"ereinst",1,4,1,2
"ervaugha",3,4,1,4
"gbedwar2",3,3,1,1
"gespino",2,4,1,2
"ghbowers",2,4,4,4
"gpuzo",3,1,1,1
"gsflinch",1,1,1,1
"gwaugsbu",4,3,1,1
"hawilson",3,1,3,3
"hli30",1,4,1,1
"hrking",2,4,1,4
"htslaugh",3,4,1,2
"jabeichl",1,4,2,4
"jadrum",4,3,1,1
"jagonza9",1,1,4,1
"jahutche",4,3,1,1
"jamazzol",1,1,1,1
"jchen25",1,1,1,1
"jdmill11",3,1,1,2
"jdpunch",2,1,1,2
"jdwatso5",3,3,1,1
"jeglas",3,4,3,2
"jepriddy",1,1,1,1
"jetubito",1,1,4,1
"jhiltz",2,4,1,2
"jhooper",3,4,2,1
"jkburney",3,1,1,1
"jlchavez",1,1,1,1
"jmdiaz4",2,4,4,4
"jmreesjo",1,3,1,1
"jnpoulos",3,1,1,1
"jpsarle",3,1,4,1
"jsmorga3",1,3,1,1
"jtcasper",1,1,1,1
"jteasow",1,1,1,1
"jtsajor",1,4,1,1
"jwstanl3",1,1,1,1
"jwu7",2,4,1,4
"kdbeall",4,4,1,4
"kekeller",1,1,1,1
"kgjones3",1,1,1,1
"khmarti2",4,4,1,1
"khzhang",1,3,1,1
"kmissa",1,3,1,1
"kpowell",1,3,1,1
"kwrideno",1,4,1,1
"ljacobo",3,1,1,1
"lrrumney",1,3,1,1
"magalla4",4,3,1,1
"mascaram",4,4,1,1
"mcgibson",1,1,1,1
"mehess",2,4,1,2
"mfcallis",1,3,1,1
"mjbloeme",3,1,1,2
"mjlilly",1,1,1,1
"mlalsto3",3,4,1,2
"mmahmed3",1,1,1,2
"mmmasent",1,1,1,1
"mmraviel",3,3,3,1
"nabruins",1,4,1,2
"nkblankl",5,2,1,3
"nmcgove",1,1,1,1
"nranthon",4,1,1,1
"nvakil",2,1,1,1
"nvarma",3,4,2,4
"pdcallis",1,3,1,1
"pkembur",1,1,1,1
"pkhanal",3,1,1,1
"pmryan2",4,4,3,4
"ptqualke",3,1,1,1
"pttemple",3,1,1,1
"pxu6",2,1,1,2
"qwang20",4,1,1,2
"ranewcom",1,4,1,1
"rjpatel2",1,4,2,4
"rmstrube",1,3,1,1
"rncreswe",2,4,1,4
"rnjiwas",2,4,1,4
"rpgrange",1,1,1,1
"rrichar3",1,4,1,1
"sabhalo2",1,3,4,1
"sccantey",1,1,1,1
"scmathew",1,1,1,1
"sdyoung3",1,4,2,1
"sgu",3,1,1,1
"skang7",1,1,1,1
"slee49",3,4,1,1
"smayes",1,1,1,1
"smoneta",1,1,1,1
"snturner",1,1,1,1
"spallred",3,3,1,3
"spkilgan",3,3,1,1
"spschoen",1,1,1,1
"ssyed2",1,3,1,1
"swmay",3,1,1,1
"syu10",1,3,1,1
"tcunnin",4,4,1,1
"tjeagle",1,1,1,1
"tjirons",3,4,2,2
"tjreming",1,4,3,1
"tkalexa2",1,1,2,2
"tlreger",1,4,1,1
"tnpatill",3,4,2,1
"trnielse",1,1,1,2
"twalff",2,1,2,1
"tyu2",3,2,4,3
"vtrenich",2,4,4,2
"wctoohey",1,4,2,4
"wehiggin",1,1,1,1
"xchen27",1,1,1,2
"xma5",1,1,1,1
"ychen63",1,4,1,1
"yhuang30",1,1,1,1
"yliu59",3,1,2,3
"yzhang64",1,4,1,1
"zhuang4",2,4,1,1
