"student","course","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"bwhooks","CSC226-001-BITZER-F15",-1.32951253048625,0.357876400192934,-1.05154056977816,-0.430944016954408,-1.18071434466574,-0.549624847775617,-0.144928454195337,0.352979246881899
"bwhooks","CSC226-001-BITZER-F15",-3.33367396527623,1.12494259545939,-0.883814114619515,0.941803631724003,0.342310671292899,-0.324014633612105,-0.150078199305301,-0.199765845998934
"bwhooks","CSC226-001-BITZER-F15",-2.3891361428228,0.716404911613225,-1.41260730246353,-0.0287373239940361,-0.0920567786266122,0.458265138584739,0.207558228357925,0.10505682914483
"bwhooks","CSC226-001-BITZER-F15",-1.8197637672025,1.49324731213618,-1.03500801262826,-0.830935781237844,0.0230852345674852,-0.231264854893676,0.0473534239194054,0.332735900118043
"bwhooks","CSC226-001-BITZER-F15",3.68457782585448,0.0425100138288153,-2.38891666530998,1.61230852872747,0.421429598995614,-1.60396871397255,-0.488022471691863,1.7179355582068
"bwhooks","CSC226-001-BITZER-F15",-1.67067898396517,1.97499321846557,0.378584144451133,0.106665076112829,0.381798299217919,-0.985874849603191,-0.686701757053409,-0.0235774821246871
"mmahmed3","CSC226-002-BARNES-F15",-0.261693463906791,-8.75898673943357,-4.04437336362455,1.53397899319822,0.0680348224324707,13.151562228932,6.16266480653091,6.39594509223494
"mmahmed3","CSC226-002-BARNES-F15",-3.02255728232041,0.185839780183728,-0.447853201510274,-0.0913085455111512,-0.107693561193166,0.0705247154588615,0.378662973891969,-0.255433830888516
"mmahmed3","CSC226-002-BARNES-F15",-3.49611177083242,-2.50672011613397,-1.95091240737414,0.967108348455613,-0.42416555805012,1.872706095062,1.95576906852488,0.463642809116445
"mmahmed3","CSC226-002-BARNES-F15",-3.3268329681341,-0.0585276262735861,0.0878100290682979,1.05132275445426,-0.292886255457205,0.0942154042309871,0.288420076408793,-0.265945549590942
"mmahmed3","CSC226-002-BARNES-F15",-0.745818371904101,0.986815144756855,0.253520031790551,-0.299311149720116,0.464377168319344,0.186863685127836,0.404359942622641,0.322151357284239
