"student","problem.ward","problem.average","problem.median","problem.complete"
"abalaji",1,1,1,1
"acallred",1,1,1,1
"acray2",1,1,1,1
"adtalask",3,1,1,2
"agamin",3,1,1,2
"agescoba",1,1,1,1
"ahnorris",1,1,1,1
"ajcastel",2,1,1,1
"ajhiller",3,1,1,2
"ajlong4",1,1,1,1
"ajschofi",3,1,1,2
"ajshryoc",1,1,1,1
"ajsmit11",1,1,1,2
"allee5",1,1,1,1
"ancook2",1,1,1,2
"anmcgill",1,1,1,1
"arfranc2",1,1,1,2
"atvohwin",1,1,1,2
"awpoppo",2,1,1,2
"bgwebb",1,1,1,1
"blamdar3",3,1,1,2
"blstone",3,1,1,2
"bpatel6",3,1,1,1
"bprishe",3,1,1,2
"brteuton",2,1,1,1
"bshapir",2,1,1,1
"btnguye3",3,1,1,2
"bwhooks",1,1,1,1
"cawalke7",1,1,1,2
"cdtripp",1,1,1,2
"cgscarbo",1,1,1,1
"chood2",3,1,1,2
"cjchris3",4,1,1,2
"cjlach",3,1,1,2
"cjvalent",1,1,1,2
"clredmon",3,1,1,2
"csdennis",3,2,2,3
"cwtait",1,1,1,1
"dfcawley",3,1,1,2
"drthomp4",3,1,1,2
"dsdiaz",1,1,1,1
"ejmunoz",1,1,1,1
"eli4",1,1,1,2
"ereinst",1,1,1,2
"ervaugha",3,1,1,2
"gbedwar2",3,1,1,1
"gespino",2,1,1,1
"ghbowers",2,1,1,1
"gpuzo",3,1,1,1
"gsflinch",1,1,1,1
"gwaugsbu",4,1,1,2
"hawilson",3,1,1,2
"hli30",1,1,1,1
"hrking",2,1,1,1
"htslaugh",3,1,1,2
"jabeichl",1,1,1,2
"jadrum",4,1,1,2
"jagonza9",1,1,1,1
"jahutche",4,1,1,2
"jamazzol",1,1,1,1
"jchen25",1,1,1,1
"jdmill11",3,1,1,3
"jdpunch",2,1,1,1
"jdwatso5",3,1,1,2
"jeglas",3,1,1,2
"jepriddy",1,1,1,1
"jetubito",1,1,1,1
"jhiltz",2,1,1,2
"jhooper",3,1,4,5
"jkburney",3,1,1,1
"jlchavez",1,1,1,1
"jmdiaz4",2,1,1,1
"jmreesjo",1,1,1,1
"jnpoulos",3,1,1,2
"jpsarle",3,1,1,2
"jsmorga3",1,1,1,1
"jtcasper",1,1,1,2
"jteasow",1,1,1,1
"jtsajor",1,1,1,1
"jwstanl3",1,1,1,1
"jwu7",2,1,1,1
"kdbeall",4,1,1,2
"kekeller",1,1,1,2
"kgjones3",1,1,1,1
"khmarti2",4,1,1,2
"khzhang",1,1,1,2
"kmissa",1,1,1,2
"kpowell",1,1,1,2
"kwrideno",1,1,1,1
"ljacobo",3,1,1,2
"lrrumney",1,1,1,1
"magalla4",4,4,5,3
"mascaram",4,1,1,2
"mcgibson",1,1,1,2
"mehess",2,1,1,1
"mfcallis",1,1,1,1
"mjbloeme",3,1,1,2
"mjlilly",1,1,1,1
"mlalsto3",3,1,1,2
"mmahmed3",1,1,1,1
"mmmasent",1,1,1,1
"mmraviel",3,1,1,2
"nabruins",1,1,1,1
"nkblankl",5,3,3,4
"nmcgove",1,1,1,1
"nranthon",4,1,1,2
"nvakil",2,1,1,1
"nvarma",3,1,1,1
"pdcallis",1,1,1,2
"pkembur",1,1,1,2
"pkhanal",3,1,1,2
"pmryan2",4,1,1,3
"ptqualke",3,1,1,1
"pttemple",3,1,1,1
"pxu6",2,1,1,2
"qwang20",4,5,1,3
"ranewcom",1,1,1,1
"rjpatel2",1,1,1,1
"rmstrube",1,1,1,2
"rncreswe",2,1,1,1
"rnjiwas",2,1,1,1
"rpgrange",1,1,1,1
"rrichar3",1,1,1,1
"sabhalo2",1,1,1,2
"sccantey",1,1,1,1
"scmathew",1,1,1,1
"sdyoung3",1,1,1,1
"sgu",3,1,1,1
"skang7",1,1,1,1
"slee49",3,1,1,1
"smayes",1,1,1,1
"smoneta",1,1,1,1
"snturner",1,1,1,1
"spallred",3,1,1,2
"spkilgan",3,1,1,2
"spschoen",1,1,1,1
"ssyed2",1,1,1,2
"swmay",3,1,1,1
"syu10",1,1,1,2
"tcunnin",4,1,1,2
"tjeagle",1,1,1,2
"tjirons",3,1,1,2
"tjreming",1,1,1,1
"tkalexa2",1,1,1,1
"tlreger",1,1,1,1
"tnpatill",3,1,1,2
"trnielse",1,1,1,1
"twalff",2,1,1,1
"tyu2",3,1,1,1
"vtrenich",2,1,1,1
"wctoohey",1,1,1,1
"wehiggin",1,1,1,1
"xchen27",1,1,1,1
"xma5",1,1,1,1
"ychen63",1,1,1,2
"yhuang30",1,1,1,2
"yliu59",3,1,1,2
"yzhang64",1,1,1,1
"zhuang4",2,1,1,1
