"student","course","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"bwhooks","CSC226-001-BITZER-F15",-1.89764509016271,-1.80622820217434,1.57819442120448,0.473758356845315,0.0606589632529859,1.02924345588171,1.06043146152872
"mmahmed3","CSC226-002-BARNES-F15",-3.78562425586372,1.59227309493678,4.34935318525491,-1.31613373676797,-0.940123187606872,-3.5254417238308,-1.51967948343051
"twalff","CSC226-001-BITZER-F15",-3.9439801060008,0.597766316484923,-0.619139703850411,1.28272837671496,0.386458310230734,-0.150717084688454,-0.81436902061491
"clredmon","CSC226-002-BARNES-F15",9.37246256909625,0.713433187673116,3.34958171237056,0.776434094389945,-1.80769466241784,-0.321916530193998,-0.474833345944196
"jadrum","CSC226-001-BITZER-F15",-0.134626733621594,0.981824171411293,1.28025175213842,-1.62417029375366,0.448450938691534,1.53154594072038,0.813408216784738
"sccantey","CSC226-002-BARNES-F15",-4.05268772341748,-1.69965968609169,-0.05225019665881,0.0027941765472053,-0.519475171005615,0.0249743326777704,-0.0728425023971305
"jchen25","CSC226-001-BITZER-F15",-2.40246116490484,-2.16405118373911,-0.408404008843758,0.678844801368375,0.277726856870548,0.480405076588628,-0.819191509323536
"xma5","CSC226-001-BITZER-F15",-4.356358835456,-1.68237917299194,0.705631498264656,0.0918577442750599,-1.20421917663326,-0.0476461168204977,-0.644840505236833
"zhuang4","CSC226-002-BARNES-F15",0.025858571898336,0.441859233817413,0.150289287812222,-1.04460732918682,1.1599643799161,-0.337350833834216,-1.39520782103424
"cwtait","CSC226-002-BARNES-F15",-3.4713658867244,-2.37905833532602,0.201874483895021,0.634464009334864,-0.0848804513248455,0.468397898231685,-0.0630080803202481
"cjlach","CSC226-001-BITZER-F15",4.05615380546851,-0.790655588141761,-0.939250100262487,-3.55297268594568,1.91866630833521,-0.0749240828101147,-0.502689263841167
"jetubito","CSC226-002-BARNES-F15",-2.25459853771814,-1.83630439801224,0.329942409340419,-0.297189354348716,-0.141432496890979,-0.250594532831627,-0.733409449447869
"sabhalo2","CSC226-002-BARNES-F15",1.0840271061039,0.033352604452558,0.0231523629499098,-3.05577953119007,-0.977778499996062,0.693077993714267,0.454680300180485
"ejmunoz","CSC226-001-BITZER-F15",-4.80527176438286,-0.99135485421377,0.968749486707814,0.869366522370622,-0.545193253728467,-0.271031811782847,-0.364633211495845
