"student","course","condition","level","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"bwhooks","CSC226-001-BITZER-F15","Random",1,-3.72191772803567,1.28548076811405,1.10852861476952,0.825436611390586,-0.772423573960934,-0.209695701704394,-2.08658905529098
"bwhooks","CSC226-001-BITZER-F15","Random",2,-3.55274932362328,1.68123104823091,1.55580652362506,-0.0752676248507839,-0.730412124497313,-0.34922626479559,-0.62499712101087
"bwhooks","CSC226-001-BITZER-F15","Random",3,-3.02957667977531,1.69568099860108,1.75959199884097,-0.528684075356965,-0.394619515895705,-0.331955971827005,-0.368076241177276
"bwhooks","CSC226-001-BITZER-F15","Random",4,-2.31750297392919,1.93076856675814,1.7582393361123,-0.497563535118458,-0.121856549013552,-0.339088310487708,-0.245748279449028
"bwhooks","CSC226-001-BITZER-F15","Random",5,0.221030930020476,0.836344605991148,1.97647274167856,-0.807263473486931,-0.416210771642229,-0.752091259154218,0.0161657144556114
"bwhooks","CSC226-001-BITZER-F15","Random",6,0.888331585346223,1.06468922764207,1.75245875469845,-1.02922960559435,-0.295660388390612,-0.811173833720378,0.101249002741377
"mmahmed3","CSC226-002-BARNES-F15","Random",1,-4.05918733000129,-4.60845848933692,2.14990973274715,-3.01064939041572,0.307981410347338,0.539365256810656,3.02679060682909
"mmahmed3","CSC226-002-BARNES-F15","Random",2,-3.37049612903769,-3.006586204615,3.45872746073174,-3.22641879258646,0.837702978577456,0.0906609624103668,2.12094466633014
"mmahmed3","CSC226-002-BARNES-F15","Random",3,-3.06441912353416,-2.99311456724337,3.61683965657337,-3.7206401422676,1.50652932278006,-0.0116009204663464,1.95597448030768
"mmahmed3","CSC226-002-BARNES-F15","Random",4,-2.7347939759072,-2.5637372717421,3.4008641003255,-4.2032223531305,1.8719098366004,-0.131650307178519,1.76144180753804
"mmahmed3","CSC226-002-BARNES-F15","Random",5,-1.41837693042668,-1.27975703565128,2.94986203684649,-3.81661487468171,2.34383595017172,-0.110583886545452,1.48716770788005
"mmahmed3","CSC226-002-BARNES-F15","Random",6,-0.499954433921539,-0.520831183172498,2.68426897334774,-3.70294222545049,2.47895038773509,-0.142184980823991,1.3411571181666
"twalff","CSC226-001-BITZER-F15","Random",1,-5.49834729324541,-1.73015014363821,-0.151864320188813,-1.7262090019849,-1.06161223055583,-0.181064665524557,-0.0464025223531188
"twalff","CSC226-001-BITZER-F15","Random",2,-4.11293374108159,-0.0908101101364678,-1.09776782865756,-1.1040029879554,-0.543350325505999,-0.106251176702205,0.0672155216026505
"twalff","CSC226-001-BITZER-F15","Random",3,-3.84138847451039,-0.585076699635452,-0.519677629031613,-1.58848200895887,0.0515423635537731,-0.21589031042456,-0.0698229802314966
"twalff","CSC226-001-BITZER-F15","Random",4,-2.8220725785378,0.10073681955157,-0.796741497558585,-2.17659709347676,0.239977556327513,-0.3593894610049,-0.45855525422129
"twalff","CSC226-001-BITZER-F15","Random",5,-2.45704051773949,0.132851201313611,-0.661999413054478,-2.65386478959599,0.445035060314328,-0.472749348795295,-0.340658805874646
